Grantor,Grantee,Program,Start,Stop,Amount,Funding Source
City of Santee,Santee Food Bank,Emergency Food Programs,06/01/18,06/30/20,14000,CDBG
City of Chula Vista,SBCS,Family Violence Treatment Program,06/01/21,06/30/22,50000,CDBG
City of Chula Vista,SBCS,CV - Domestic Violence Services,04/26/22,04/26/23,234475,ARPA
City of National City,South Bay Community Services,Tenant Based Rental Assitance,12/5/17,12/12/18,188147.42,HOME
City of National City,South Bay Community Services,Tenant Based Rental Assitance,07/01/20,06/30/22,364245.85,HOME
City of Coronado,St. Vincent de Paul Village,Shelter Services,05/01/21,05/01/24,287401,Affordable Housing Fund account 266490-8030
City of El Cajon,Salvation Army,A Way Back Home ,10/6/20,10/05/21,10700,City Budget
City of Carlsbad,Urban Corps of San Diego County,Neighborhood Revitalization Services,06/19/20,06/19/22,35000,nan
City of Carlsbad,Women 's Resource Center,Outreach Services,07/01/17,06/30/18,148996,CDBG
City of Carlsbad,Women 's Resource Center,Grantee Services,07/01/18,06/30/20,1200,CDBG
