Train/Test,Grantor,Grantee,Program,Date,EndDate,Amount,AmendmentNumber,PreviousAmendingDate,NewAmendDate,AmendAmount,Funding Agency,Funding Source,Link to OCR'ed Document,Link to Text Doc,Entered into Sublime,Link to Tagged Documents,,,,,text_id,,,,,,,comments on testing data
Train,City of Coronado,St. Vincent de Paul Village,Temporary Housing and Services,05/01/21,05/01/24,287041,,,,,,Affordable Housing Fund account 266490-8030,https://drive.google.com/file/d/1g4bsfQupwwOCpeOFeRM1oNxzEASzCe65/view?usp=share_link,https://drive.google.com/file/d/1qF-FyenH3bDxQ2MRwwcqSisHqPUFLGdg/view?usp=share_link,,,,,,St. Vincent de Paul Village,St. Vincent de Paul Village Temporary Housing and Services.txt,,,,,,,
Train,City of Del Mar,San Diego Regional Task Force on the Homeless,Annual Point-in-Time Count Services,07/01/21,06/30/23,4000,,,,,City,Community Support Program,https://drive.google.com/file/d/1oWTUN8kEyjF7qeKGYtImBzVsrASnMM6O/view?usp=share_link,https://drive.google.com/file/d/1kD7dSdjN_y-aGg1cfonHE7jaAVbdDF97/view?usp=share_link,,,,,,San Diego Regional Task Force on the Homeless,San Diego Regional Task Force on the Homeless Annual Point-in-Time Count Services.txt,,,,,,,
Train,City of El Cajon,Home Start,Outreach Services,09/01/20,08/31/21,200000,,,,,City Council,LMIHAF,https://drive.google.com/file/d/1S1cr9FC_HnK4RzDIvVHXQEmu71x0n39i/view?usp=share_link,https://drive.google.com/file/d/1gIwuyPNHArGY2TnD8oGoA5Ho-xI6cO9T/view?usp=share_link,,,,,,Home Start,Home Start    Outreach Services.txt,,,,,,,
Train,City of El Cajon,The Salvation Army,Supportive Service,10/06/20,10/05/22,20000,1,,,,City Council,A WAY BACK HOME' REUNIFICATION PROJECT,https://drive.google.com/file/d/1YKdK11oxEatarRsF3us2nXAlU1gMNXlR/view?usp=share_link,https://drive.google.com/file/d/1Zf9aoC0cGb3TCMka8ZguQq3xdOgZTFdN/view?usp=share_link,,,,,,The Salvation Army,The Salvation Army     Supportive Service.txt,,,,,,,
Train,City of El Cajon,The Salvation Army,Supportive Service,05/16/19,05/15/20,10000,,,,,,,https://drive.google.com/file/d/1WHu9kxLAs4uu29NuLOcagUOcQkAltXtf/view?usp=sharing,https://drive.google.com/file/d/1E0rzx_0oPnI0QmQl8R-lAWU0bwyrREeI/view?usp=share_link,,,,,,East County Transitional Living Center,The Salvation Army     Supportive Service (2).txt,,,,,,,
Train,City of El Cajon,East County Transitional Living Center,Railing Replacement,07/01/20,06/30/21,25000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1QHRxONUdBTteWtdgLfVj4k6UbcpzpOfA/view?usp=share_link,https://drive.google.com/file/d/1vYI7mB1mugRtKebn-KNlVzm7B3cG7Rkd/view?usp=share_link,,,,,,Interfaith Community Services,East County Transitional Living Center     Railing Replacement.txt,,,,,,,
Train,City of El Cajon,East County Transitional Living Center,Security Fencing,07/01/19,06/30/20,25000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1fK6XD6ku7BlNjSanhh49jpKORVyCSGbt/view?usp=sharing,https://drive.google.com/file/d/1cq_SdvYG4VL9UMszY6i3CFKktvcZ91K-/view?usp=share_link,,,,,,Crisis House,East County Transitional Living Center     Security Fencing.txt,,,,,,,
Train,City of El Cajon,Interfaith Community Services,Rotational Shelter Program,07/01/18,06/30/19,10000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1trlRcs6Pg7YgbngKfqTaceRRvIHWF9FB/view?usp=share_link,https://drive.google.com/file/d/1SK1vn6oHDf7wGmSjZLYzjG-SnnD44xng/view?usp=share_link,,,,,,Interfaith Community Services ,Interfairth Community Services       Rotational Shelter Program.txt,,,,,,,
Train,City of El Cajon,Interfaith Community Services,Rotational Shelter Program,07/01/19,06/30/20,10000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1vhddXq8CoS4K60MgOBdWa2qIFSdhm41g/view?usp=share_link,https://drive.google.com/file/d/1JW-HWAMVtTTEPjSGRrJqzY0oLkNV6Ja3/view?usp=share_link,,,,,,People Assisting the Homeless ,Interfairth Community Services     Rotational Shelter Program.txt,,,,,,,
Train,City of El Cajon,Interfaith Community Services,Rotational Shelter Program,07/01/20,06/30/21,10000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1-cSwxXbgckVEaMjVJqT2U6TUfo0zyebK/view?usp=share_link,https://drive.google.com/file/d/1ofVnuGNFA9U7U-_xiJNk_eR7hr6DfiRC/view?usp=share_link,,,,,,Department of Housing and Community Development,Interfaith Community Services     Rotational Shelter Program.txt,,,,,,,
Train,City of El Cajon,East County Transitional Living Center,Emergency Shelter Program for Homeless,07/01/20,06/30/21,100000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/14jfqnCnq-nZRfhEEO7ppEpjSE3t7tILS/view?usp=share_link,https://drive.google.com/file/d/1EOrrh4BwKi4rHHH-jneqacVi3Ms1rc2_/view?usp=share_link,,,,,,McAlister Institute for Treatment & Education ,East County Transitional Living Center     Emergency Shelter Program for Homeless.txt,,,,,,,
Train,City of El Cajon,East County Transitional Living Center,Emergency Shelter Program for Homeless,07/01/19,06/30/20,100000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1q1CdemUuMMyVKqV98jbZKyuxvc981GKR/view?usp=share_link,https://drive.google.com/file/d/1svoE8FI2QCjH6pWRoZ0ENTlZvhkNOut-/view?usp=share_link,,,,,,South Bay Community Services,East County Transitional Living Center     Emergency Shelter Program for Homeless (1).txt,,,,,,,
Train,City of El Cajon,Crisis House,Improve Fencing,07/01/18,06/30/19,19725,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1_T-vms7sehlY3hEY1s8vHhNJwSDXtrdC/view?usp=share_link,https://drive.google.com/file/d/1_T-vms7sehlY3hEY1s8vHhNJwSDXtrdC/view?usp=share_link,,,,,,Alliance for Regional Solutions ,,,,,,,,
Train,City of El Cajon,Crisis House,HVAC Replacements,07/01/19,06/30/20,485000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1Da0j0n8DowNBVqm5Y5bRbk2ickqllmSz/view?usp=share_link,https://drive.google.com/file/d/1Xs9iBrDU2KPgZ1b7s0fvvCe7hk4IqkFH/view?usp=share_link,,,,,,"Home Start, Inc",Crisis House     HVAC Replacements.txt,,,,,,,
Train,City of El Cajon,East County Transitional Living Center,Emergency Shelter ,05/13/20,06/30/21,185294,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1I_5CkhbMdIf28m9Cm8ityErIQUfxKS_i/view?usp=share_link,https://drive.google.com/file/d/1h9TLp6NUtahy0zcDwvsN8t7MqibkveiE/view?usp=share_link,,,,,,Interfaith Shelter Network of San Diego,East County Transitional Living Center     Emergency Shelter.txt,,,,,,,
Train,City of El Cajon,Home Start,CV - Outreach Support Services Program,06/01/22,03/31/23,155000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/18bNqbvDOyowEGCs80nixdWRwIOIcKIdr/view?usp=share_link,https://drive.google.com/file/d/1nPzy_1AereeZR3ehFN633WyWbdPQ8JoV/view?usp=share_link,,,,,,East County Chamber of Commerce,Home Start     CV - Outreach Support Services Program.txt,,,,,,,
Train,City of El Cajon,Home Start,Motel Voucher Program ,05/13/20,6/30/21,145000,1,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1jvdPBJ71A8PzbhO9ByfTCycUPypn8tLY/view?usp=share_link,https://drive.google.com/file/d/1JuEkEvjzkwehXRvCIdXRDDnPyfbxkiT4/view?usp=share_link,,,,,,Santee Food Bank,Home Start     Motel Voucher Program.txt,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,CV - Rental Assistance ,06/24/20,8/31/22,2500000,1,,,,U.S. Department of Housing and Urban Development,ESG-CV,Can't find file,,,,,,,North County Lifeline,,,,,,,,
Train,City of Escondido ,Interfaith Community Services ,CV - Quarantined Entry into Emergency Shelter,12/06/20,12/30/21,552803,,,,,U.S. Department of Housing and Urban Development,ESG-CV,https://drive.google.com/file/d/10kK3pI9AncKzzyIVCGCJ_VrzYbyuAQnR/view?usp=share_link,https://drive.google.com/file/d/1KiBQlxvLwGLXqyX5javR6YF8C_WUbrXV/view?usp=share_link,,,,,,Operation Hope,Interfaith Community Services     CV - Quarantined Entry into Emergency Shelter.txt,,,,,,,
Train,City of Escondido ,Interfaith Community Services ,Rapid Rehousing Services,06/24/20,12/30/21,785155,1,,,,U.S. Department of Housing and Urban Development,ESG-CV,https://drive.google.com/file/d/1lXqgWpNqcwhAijjsk6EDpsYy0fJkOB7u/view,,,,,,,Exodus Recovery,,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,Outreach Services,06/01/21,08/31/22,249995,,,,,U.S. Department of Housing and Urban Development,ESG-CV,Can't find file,,,,,,,Elder Help,,,,,,,,
Train,City of Escondido ,Interfaith Community Services ,Outreach Services,07/01/21,06/30/22,78335,,,,,U.S. Department of Housing and Urban Development,ESG-CV,https://drive.google.com/file/d/17v1SZXItWTPbAXYldYc_G34Gh9oXfnCR/view?usp=share_link,https://drive.google.com/file/d/1tyEWN5B98T-Epqvy-LddDWdV6hCtqYeK/view?usp=share_link,,,,,,,Interfaith Community Services July Outreach Services.txt,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,Case Management Services ,06/01/19,06/30/20,185328,,,,,RTFH,HEAPS,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,Case Management Services ,06/01/20,05/31/21,182340,1,,,,U.S. Department of Housing and Urban Development,ESG,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,Prevention Programs,11/6/2017,8/31/2018,192324,1,,,,U.S. Department of Housing and Urban Development,ESG,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,"Emergency Shelter, Prevention, Outreach",07/01/19,06/30/20,276432,2,,,,U.S. Department of Housing and Urban Development,ESG,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,"Emergency Shelter, Prevention, Outreach",07/01/18,06/30/19,132289, ,,,,U.S. Department of Housing and Urban Development,ESG,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services ,,07/01/17,06/30/18,96162,,,,,U.S. Department of Housing and Urban Development,ESG,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services,"The Alliance for Regional Solutions, Emergency Shelter",07/01/17,6/30/18,43000,,,,,U.S. Department of Housing and Urban Development,CDBG,Can't find file,,,,,,,,,,,,,,,
Test,City of Escondido ,Interfaith Community Services,"The Alliance for Regional Solutions, Emergency Shelter",07/01/18,06/30/19,45000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1darR-fzeOHk16cj1Ozu0Xj7vOqdVdtml/view?usp=sharing,https://drive.google.com/file/d/1z_dpNVyz0MUlUSYSwIqqzCsl4583GViP/view?usp=sharing,,,,,,,CDBG Emergency Shelter Subrecipient Agreement Executed Contract FY 18-19.txt,,,,,,,
Test,City of Escondido ,Interfaith Community Services,"The Alliance for Regional Solutions, Emergency Shelter",07/01/19,06/30/20,45000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1sBW-oHe7bv731AON3pQ0LFU4YB4YlmYr/view?usp=sharing,https://drive.google.com/file/d/1gWDDr4-68GaBDxi4yafX18DupMKcCh5O/view?usp=sharing,,,,,,,CDBG Emergency Shelter Subrecipient Agreement Executed Contract FY 19-20.txt,,,,,,,
Train,City of La Mesa,Home Start,Rental Assistance ,09/02/20,09/09/21,75000,,,,,,,https://drive.google.com/file/d/1krLwlT62pFYE1fs3_f7xpkMvOe7bzHdo/view?usp=share_link,https://drive.google.com/file/d/1xJ7jgNE7-2NDT8rOdz1VUu7r2TAibiqG/view?usp=share_link,,,,,,,Home Start     Rental Assistance.txt,,,,,,,
Train,City of La Mesa,People Assisting the Homeless ,CV - Outreach and General Homelessness Services ,11/19/20,10/31/21,262416,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1fBX3ZXRg47R48uuDJFmwZH80Ad9h7DyI/view?usp=share_link,https://drive.google.com/file/d/1iHaZxrgK_Q75t3iZ_93KZ_oNbTqmtPfJ/view?usp=share_link,,,,,,,People Assisting the Homeless      CV - Outreach and General Homelessness Services.txt,,,,,,,
Train,City of La Mesa,Department of Housing and Community Development,General Funding for Homelessness Services,09/03/21,06/30/30,188809,,,,,California Department of Housing and Community Development,Permanent Local Housing Allocation (PLHA) Program – Grant,https://drive.google.com/file/d/1whJ0pAWO-dOrAMtvQ7hTY6pp1hG7Eh54/view?usp=share_link,https://drive.google.com/file/d/1ltaCacfaf4vJAGFqUMbGZKrzSpj34FMm/view?usp=share_link,,,,,,,Department of Housing and Community Development       General Funding for Homelessness Services.txt,,,,,,,
Train,City of La Mesa,Home Start,CV - Housing Stability Services,09/23/21,09/30/22,338000,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1G1m_ejnwxP_gXQKj6egxmYyMuLVzyqvQ/view?usp=share_link,https://drive.google.com/file/d/1hwgRPMvbE3ABIgFPnB-fjEgZXLB0HjwJ/view?usp=share_link,,,,,,,Home Start     CV - Housing Stability Services.txt,,,,,,,
Train,City of Lemon Grove,Home Start,Outreach Services,07/13/20,01/20/22,30000,,,,,,,https://drive.google.com/file/d/1GVNLEvTwr-YY4jQxmqBo3SDiEyzCDE8U/view?usp=share_link,https://drive.google.com/file/d/1wRUS_gFMLn8sy51VMkE4T7JR2CaKyOwW/view?usp=share_link,,,,,,,City of Lemon Grove Home Start.txt,,,,,,,
Train,City of National City,McAlister Institute for Treatment & Education ,Case Management Services ,08/15/21,06/30/22,313532,,,,,,,https://drive.google.com/file/d/13P4cCiVSPPSE_Krv3dJe7xdrduQ3G0Vn/view?usp=share_link,https://drive.google.com/file/d/1vBqvu9NHQ_YfhQL-QVhLli2_KY2McHuC/view?usp=share_link,,,,,,,McAlister Institute for Treatment & Education Case Management Services.txt,,,,,,,
Train,City of National City,South Bay Community Services,Tenant Based Rental Assitance,1/7/20,01/07/22,364245.86,,,,,U.S. Department of Housing and Urban Development,HOME,https://drive.google.com/file/d/19tqa9i5-OXmZi1LAoQgIRTDzK8oYE5In/view?usp=share_link,https://drive.google.com/file/d/1Pjsqoa66F2Ps7Zrzu4dYupGKoWDRwqEE/view?usp=share_link,,,,,,,South Bay Community Services    Tenant Based Rental Assitance.txt,,,,,,,
Train,City of National City,South Bay Community Services,Tenant Based Rental Assitance,12/5/17,12/04/19,188147.42,,,,,U.S. Department of Housing and Urban Development,HOME,https://drive.google.com/file/d/1ALNUFDUD3WHQlMX5tj61aLNZMrcRONbX/view?usp=share_link,https://drive.google.com/file/d/1WWk5EDXEFu4ng4MJkJjlXuqoKLm5FQJf/view?usp=share_link,,,,,,,South Bay Community Services     Tenant Based Rental Assitance.txt,,,,,,,
Train,City of San Marcos,Alliance for Regional Solutions ,Shelter Services ,11/28/17,06/30/20,66300,,,,,U.S. Department of Housing and Urban Development,HOME,https://drive.google.com/file/d/1M49DsUjQAIthWiW5A2Lu3tbZ5r2zRQw8/view?usp=share_link,https://drive.google.com/file/d/1ATIesPjttME6tmxIoBS9Jdl65wUfRq6C/view?usp=share_link,,,,,,,17 Alliance for Regional Solutions  Shelter Services.txt,,,,,,,
Train,City of San Marcos,Alliance for Regional Solutions ,Shelter Services,06/30/20,06/30/23,125000,,,,,City,City Budget,https://drive.google.com/file/d/1io0tCljvm5aeuAoT_2_3lOwT1ByG65AN/view?usp=share_link,https://drive.google.com/file/d/1jjwldNK4KeCgwDw71JM97mInl6lCRh5Q/view?usp=share_link,,,,,,,20 Alliance for Regional Solutions Shelter Services.txt,,,,,,,
Train,City of Santee,Crisis House,Homelessness Prevention Case Management Services,09/04/20,06/30/21,6852,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1w0Qzr11xuiRsrXfizHesZyouNIDoHpNU/view?usp=share_link,https://drive.google.com/file/d/1GPh7LPx372HpRPwidtJRi1BQZ6wicheB/view?usp=share_link,,,,,,,Crisis House    Homelessness Prevention Case Management Services.txt,,,,,,,
Train,City of Santee,"Home Start, Inc",CV - Rental Assistance,12/31/20,07/30/21,168976,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/19ulbwsproVXod25oJWojbKixkiI3SFTA/view?usp=share_link,https://drive.google.com/file/d/1slw6O0bjKIonlgKty6Vfbd-L-NJtHP_i/view?usp=share_link,,,,,,,"Home Start, Inc  CV - Rental Assistance.txt",,,,,,,
Train,City of Santee,Crisis House,CV - Rapid Rehousing Services,12/31/20,07/30/21,15000,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1NvRvukTRjPO77vYdN7yldslgh3tKYeiO/view?usp=share_link,https://drive.google.com/file/d/1tg8lnFrmfJM5m6zs0wzFyKb7m6Wcxmnc/view?usp=share_link,,,,,,,Crisis House  CV - Rapid Rehousing Services.txt,,,,,,,
Train,City of Santee,Interfaith Shelter Network of San Diego,CV - Rental Assistance ,12/31/20,07/30/21,168976,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1JbR1TKeQb20TUiEcuk2Ezz2k6wukrwVi/view?usp=share_link,https://drive.google.com/file/d/1pquentkE4cSDDj7peuHh7HFgBwshkq3W/view?usp=share_link,,,,,,,Interfaith Shelter Network of San Diego   CV - Rental Assistance.txt,,,,,,,
Train,City of Santee,East County Chamber of Commerce,Interprovider Networking and Program Facilitation ,03/22/21,07/30/21,5000,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1zDzSREJL9IxAc3k-gjeo3pfX_kdrRvI5/view?usp=share_link,https://drive.google.com/file/d/1ZDCKYAHxA-xbKbeEQHv0-pm97LbXW66d/view?usp=share_link,,,,,,,East County Chamber of Commerce Interprovider Networking and Program Facilitation.txt,,,,,,,
Train,City of Santee,Crisis House,Prevention Programs,7/1/19,06/30/20,5620,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1GvnxgutFjFHw86sPNp9RZASnfmumu13S/view?usp=share_link,https://drive.google.com/file/d/1zJnyn0Qv-zLfPSM58BhA5Kx_SXHWLqmE/view?usp=share_link,,,,,,,Crisis House Prevention Programs.txt,,,,,,,
Train,City of Santee,Crisis House,Prevention Programs,7/1/18,06/30/19,5490,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1iaCujib2yB0S-8FUGtIrr0Z2oe8gSpZ_/view?usp=share_link,https://drive.google.com/file/d/1ovfOxacy_FcC5OCGcfP8e_5pvH3OFeeo/view?usp=share_link,,,,,,,Crisis House Prevention Programs (1).txt,,,,,,,
Train,City of Santee,Crisis House,Prevention Programs,7/1/17,06/30/18,5000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1IvuVqYiC89dCB354ffnq1aM6V8anBwFF/view?usp=share_link,https://drive.google.com/file/d/1mvVhlRmalCMWJOBwQMRcheTqtjuJZDow/view?usp=share_link,,,,,,,Crisis House Prevention Programs (2).txt,,,,,,,
Train,City of Santee,Crisis House,General Homelessness Services,11/19/21,06/30/22,6660,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1DhoZ_PDPSsUDpdCR8HwTrDmNb8DWN4QC/view?usp=share_link,https://drive.google.com/file/d/107-pKOCjfc3TIsmZeYmnFjDhnuQuWQLp/view?usp=share_link,,,,,,,Crisis House  General Homelessness Services.txt,,,,,,,
Train,City of Santee,Santee Food Bank,Emergency Food Supplies,07/01/19,06/30/20,14050,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/121TItbf3E-TY1Jeb8Xj8KWLCfgb9EnHJ/view?usp=share_link,https://drive.google.com/file/d/1IrEgyba-L2WyITAsVmCpr7OkPGjXFSjV/view?usp=share_link,,,,,,,Santee Food Bank Emergency Food Supplies.txt,,,,,,,
Train,City of Santee,Santee Food Bank,Emergency Food Supplies,07/01/18,06/30/19,14270,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1rC1W6fNB3gBs-8zxVeL5ifMIa_bHyOdC/view?usp=share_link,https://drive.google.com/file/d/1dPChTSSZ1S13B90CLgdC-hRwuV44NLYT/view?usp=share_link,,,,,,,Santee Food Bank Emergency Food Supplies (1).txt,,,,,,,
Train,City of Santee,Santee Food Bank,Emergency Food Supplies,07/01/17,06/30/18,14470,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1FbNyT20LLhvAzNyF9mjsB0WaAmpeb2YL/view?usp=share_link,https://drive.google.com/file/d/1GJwQ_6nu1pej3koMHIlLulT_FWiKY39K/view?usp=share_link,,,,,,,Santee Food Bank Emergency Food Supplies (2).txt,,,,,,,
Train,City of Vista,Interfaith Community Services ,Shelter and Homeless Strategic Plan Services,08/11/20,08/10/22,400000,1,,,,,Permanent Local Housing Allocation ,,,,,,,,,,,,,,,,
Train,City of Vista,North County Lifeline,Homless Prevention Plan ,08/11/20,08/31/21,500000,1,,,,U.S. Department of Housing and Urban Development,CDBG-CV,,,,,,,,,,,,,,,,
Train,City of Vista,Alpha Project ,Homelessness Outreach,07/01/21,06/30/22,18334,,,,,U.S. Department of Housing and Urban Development,CDBG,,,,,,,,,,,,,,,,
Train,City of Vista,Alpha Project ,Homelessness Outreach,07/01/20,06/30/21,17872,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1H-aDeGYDYv1MS6wM_ydWr6WOz3clFB9H/view?usp=sharing,https://drive.google.com/file/d/1IBcrKuGsH1OYpg6J2lsERuoa3LgNQdj4/view?usp=sharing,,,,,,,Alpha Project.txt,,,,,,,
Train,City of Vista,Alpha Project ,Homelessness Outreach,07/01/18,06/30/19,"13,607",,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1eZf-eAsSy11ZUejXk2ddv1dsqA6TLQ1X/view?usp=sharing,https://drive.google.com/file/d/19Ihe5u4n8h1gLi18kAJF7jX8bJ2h3wZz/view?usp=sharing,,,,,,,cc 2018 CON alpha project.txt,,,,,,,
Train,City of Vista,North County Lifeline,Emergency Stabalization and Supportive Services,07/01/21,06/30/22,18334,,,,,U.S. Department of Housing and Urban Development,CDBG,,,,,,,,,,,,,,,,
