Heartland House,952151829
Corporation for Supportive Housing Inc.,133600232
Community Health Improvement Partners,330496092
San Diego Second Chance Program,330539640
Neighborhood House Association,951648184
Deaf Community Services of San Diego Inc.,330006089
Indian Health Council Inc.,952506788
Mental Health Association in San Diego County,951948185
HealthRight 360,946129071
Stepping Stone of San Diego Inc.,953080619
Walden Environment,942358632
Walden Family Services,942358632
New Alternatives Inc.,953244085
Survivors of Torture International,330743869
San Diego Freedom Ranch Inc.,952997398
Turning Point Home of San Diego Inc.,952670333
The Way Back Inc.,952687693
Tradition One Inc.,237163854
Metropolitan Area Advisory Commission,952457354
Crossroads Foundation,951956378
