,EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
4044,,,,,12-30-2020,,,,,,,,,,50098.25
4200,,,,,12-30-2020,,,,,,,,,,77535.33333333333
4332,,,,,12-30-2020,,,,,,,,,,702418.5
4440,,,,,12-30-2020,,,,,,,,,,239826.08333333334
4539,,,,,12-30-2020,,,,,,,,,,23687.5
4644,,,,,12-30-2020,,,,,,,,,,28897.25
4848,,,,,12-30-2020,,,,,,,,,,172364.33333333334
4992,,,,,12-30-2020,,,,,,,,,,69420.5
5328,,,,,12-30-2020,,,,,,,,,,532253.1666666666
5544,,,,,12-30-2020,,,,,,,,,,13214.333333333334
5652,,,,,12-30-2020,,,,,,,,,,2173.4166666666665
5796,,,,,12-30-2020,,,,,,,,,,149132.25
6012,,,,,12-30-2020,,,,,,,,,,4098.833333333333
6108,,,,,12-30-2020,,,,,,,,,,177319.25
6204,,,,,12-30-2020,,,,,,,,,,31191.25
6255,,,,,12-30-2020,,,,,,,,,,35101.833333333336
6360,,,,,12-30-2020,,,,,,,,,,50202.333333333336
6468,,,,,12-30-2020,,,,,,,,,,9666.666666666666
6504,,,,,12-30-2020,,,,,,,,,,63175.5
6612,,,,,12-30-2020,,,,,,,,,,11379.416666666666
6672,,,,,12-30-2020,,,,,,,,,,3802.0833333333335
6804,,,,,12-30-2020,,,,,,,,,,1711308.1666666667
7131,,,,,12-30-2020,,,,,,,,,,10068.666666666666
7224,,,,,12-30-2020,,,,,,,,,,423786.9166666667
7320,,,,,12-30-2020,,,,,,,,,,290389.4166666667
7524,,,,,12-30-2020,,,,,,,,,,6228.916666666667
7716,,,,,12-30-2020,,,,,,,,,,30026.833333333332
7824,,,,,12-30-2020,,,,,,,,,,685840.0
7944,,,,,12-30-2020,,,,,,,,,,9481140.416666666
708,,,,,12-30-2019,,,,,,,,,,36438.5
948,,,,,12-30-2019,,,,,,,,,,68405.5
1164,,,,,12-30-2019,,,,,,,,,,16989.166666666668
1284,,,,,12-30-2019,,,,,,,,,,230724.5
1335,,,,,12-30-2019,,,,,,,,,,0.0
1476,,,,,12-30-2019,,,,,,,,,,2739.1666666666665
1584,,,,,12-30-2019,,,,,,,,,,1734666.6666666667
1692,,,,,12-30-2019,,,,,,,,,,232600.58333333334
1887,,,,,12-30-2019,,,,,,,,,,1382619.4166666667
2100,,,,,12-30-2019,,,,,,,,,,114.58333333333333
2196,,,,,12-30-2019,,,,,,,,,,85699.08333333333
2364,,,,,12-30-2019,,,,,,,,,,136617.0
2472,,,,,12-30-2019,,,,,,,,,,32699.666666666668
2568,,,,,12-30-2019,,,,,,,,,,860410.75
2676,,,,,12-30-2019,,,,,,,,,,84705.08333333333
2928,,,,,12-30-2019,,,,,,,,,,845.0
3036,,,,,12-30-2019,,,,,,,,,,12012.083333333334
3120,,,,,12-30-2019,,,,,,,,,,93857.08333333333
3432,,,,,12-30-2019,,,,,,,,,,229705.91666666666
3540,,,,,12-30-2019,,,,,,,,,,656136.0833333334
3648,,,,,12-30-2019,,,,,,,,,,333470.25
3744,,,,,12-30-2019,,,,,,,,,,183705.16666666666
3840,,,,,12-30-2019,,,,,,,,,,15186.583333333334
4056,,,,,12-30-2019,,,,,,,,,,40832.25
4212,,,,,12-30-2019,,,,,,,,,,57361.666666666664
4344,,,,,12-30-2019,,,,,,,,,,650656.6666666666
4452,,,,,12-30-2019,,,,,,,,,,222625.25
4551,,,,,12-30-2019,,,,,,,,,,40679.25
4656,,,,,12-30-2019,,,,,,,,,,4518.333333333333
4860,,,,,12-30-2019,,,,,,,,,,82172.83333333333
5004,,,,,12-30-2019,,,,,,,,,,144196.83333333334
5340,,,,,12-30-2019,,,,,,,,,,697369.0833333334
5664,,,,,12-30-2019,,,,,,,,,,22526.916666666668
5808,,,,,12-30-2019,,,,,,,,,,92794.25
6024,,,,,12-30-2019,,,,,,,,,,471.5
6120,,,,,12-30-2019,,,,,,,,,,145446.08333333334
6216,,,,,12-30-2019,,,,,,,,,,19499.083333333332
6267,,,,,12-30-2019,,,,,,,,,,69122.25
6372,,,,,12-30-2019,,,,,,,,,,46816.833333333336
6480,,,,,12-30-2019,,,,,,,,,,30509.5
6516,,,,,12-30-2019,,,,,,,,,,61431.833333333336
6624,,,,,12-30-2019,,,,,,,,,,12290.0
6684,,,,,12-30-2019,,,,,,,,,,2168.0833333333335
6816,,,,,12-30-2019,,,,,,,,,,1227053.9166666667
7143,,,,,12-30-2019,,,,,,,,,,4563.583333333333
7236,,,,,12-30-2019,,,,,,,,,,333656.5833333333
7332,,,,,12-30-2019,,,,,,,,,,914871.5833333334
7536,,,,,12-30-2019,,,,,,,,,,4148.0
7728,,,,,12-30-2019,,,,,,,,,,49740.416666666664
7836,,,,,12-30-2019,,,,,,,,,,599063.0
7956,,,,,12-30-2019,,,,,,,,,,6323021.0
696,,,,,12-30-2018,,,,,,,,,,43580.25
756,,,,,12-30-2018,,,,,,,,,,140786.58333333334
936,,,,,12-30-2018,,,,,,,,,,120281.08333333333
1152,,,,,12-30-2018,,,,,,,,,,12073.5
1272,,,,,12-30-2018,,,,,,,,,,138596.66666666666
1323,,,,,12-30-2018,,,,,,,,,,0.0
1488,,,,,12-30-2018,,,,,,,,,,6496.75
1596,,,,,12-30-2018,,,,,,,,,,997583.3333333334
1704,,,,,12-30-2018,,,,,,,,,,124272.08333333333
1899,,,,,12-30-2018,,,,,,,,,,1434967.3333333333
2112,,,,,12-30-2018,,,,,,,,,,375.0
2376,,,,,12-30-2018,,,,,,,,,,130037.08333333333
2484,,,,,12-30-2018,,,,,,,,,,29437.083333333332
2580,,,,,12-30-2018,,,,,,,,,,657569.25
2688,,,,,12-30-2018,,,,,,,,,,29026.25
2940,,,,,12-30-2018,,,,,,,,,,1630.5833333333333
3048,,,,,12-30-2018,,,,,,,,,,12124.5
3132,,,,,12-30-2018,,,,,,,,,,67967.16666666667
3444,,,,,12-30-2018,,,,,,,,,,202975.25
3552,,,,,12-30-2018,,,,,,,,,,407849.0
3660,,,,,12-30-2018,,,,,,,,,,200812.91666666666
3756,,,,,12-30-2018,,,,,,,,,,69531.16666666667
3852,,,,,12-30-2018,,,,,,,,,,72085.0
4068,,,,,12-30-2018,,,,,,,,,,26792.333333333332
4224,,,,,12-30-2018,,,,,,,,,,69822.33333333333
4356,,,,,12-30-2018,,,,,,,,,,690080.4166666666
4464,,,,,12-30-2018,,,,,,,,,,297631.0
4563,,,,,12-30-2018,,,,,,,,,,31478.25
4668,,,,,12-30-2018,,,,,,,,,,12972.083333333334
5352,,,,,12-30-2018,,,,,,,,,,648596.75
5820,,,,,12-30-2018,,,,,,,,,,96900.41666666667
6036,,,,,12-30-2018,,,,,,,,,,7391.166666666667
6132,,,,,12-30-2018,,,,,,,,,,74310.66666666667
6228,,,,,12-30-2018,,,,,,,,,,18464.666666666668
6279,,,,,12-30-2018,,,,,,,,,,47435.583333333336
6384,,,,,12-30-2018,,,,,,,,,,36190.0
6528,,,,,12-30-2018,,,,,,,,,,55463.833333333336
6636,,,,,12-30-2018,,,,,,,,,,16934.25
6696,,,,,12-30-2018,,,,,,,,,,297.8333333333333
6828,,,,,12-30-2018,,,,,,,,,,1519861.0
7155,,,,,12-30-2018,,,,,,,,,,14266.75
7248,,,,,12-30-2018,,,,,,,,,,408221.8333333333
7344,,,,,12-30-2018,,,,,,,,,,1175086.0
7548,,,,,12-30-2018,,,,,,,,,,3407.6666666666665
7740,,,,,12-30-2018,,,,,,,,,,47496.0
7848,,,,,12-30-2018,,,,,,,,,,388934.0833333333
7968,,,,,12-30-2018,,,,,,,,,,4086570.0833333335
684,,,,,12-30-2017,,,,,,,,,,28893.833333333332
744,,,,,12-30-2017,,,,,,,,,,102651.66666666667
924,,,,,12-30-2017,,,,,,,,,,113320.66666666667
1140,,,,,12-30-2017,,,,,,,,,,18769.583333333332
1311,,,,,12-30-2017,,,,,,,,,,0.0
1500,,,,,12-30-2017,,,,,,,,,,6593.333333333333
1608,,,,,12-30-2017,,,,,,,,,,1255500.0
1716,,,,,12-30-2017,,,,,,,,,,158428.08333333334
1911,,,,,12-30-2017,,,,,,,,,,1424590.6666666667
2124,,,,,12-30-2017,,,,,,,,,,108433.33333333333
2208,,,,,12-30-2017,,,,,,,,,,44928.583333333336
2388,,,,,12-30-2017,,,,,,,,,,146154.25
2496,,,,,12-30-2017,,,,,,,,,,23918.166666666668
2592,,,,,12-30-2017,,,,,,,,,,681136.25
2700,,,,,12-30-2017,,,,,,,,,,22433.416666666668
2952,,,,,12-30-2017,,,,,,,,,,489.0833333333333
3060,,,,,12-30-2017,,,,,,,,,,7406.5
3456,,,,,12-30-2017,,,,,,,,,,186384.33333333334
3564,,,,,12-30-2017,,,,,,,,,,384451.0833333333
3672,,,,,12-30-2017,,,,,,,,,,153349.08333333334
3768,,,,,12-30-2017,,,,,,,,,,57808.916666666664
3864,,,,,12-30-2017,,,,,,,,,,61572.916666666664
4080,,,,,12-30-2017,,,,,,,,,,22993.25
4236,,,,,12-30-2017,,,,,,,,,,61072.0
4368,,,,,12-30-2017,,,,,,,,,,712445.8333333334
4476,,,,,12-30-2017,,,,,,,,,,325217.0
4575,,,,,12-30-2017,,,,,,,,,,11778.166666666666
4680,,,,,12-30-2017,,,,,,,,,,19129.25
5364,,,,,12-30-2017,,,,,,,,,,702527.1666666666
5832,,,,,12-30-2017,,,,,,,,,,83782.83333333333
6048,,,,,12-30-2017,,,,,,,,,,3685.0
6144,,,,,12-30-2017,,,,,,,,,,87030.33333333333
6240,,,,,12-30-2017,,,,,,,,,,32760.75
6291,,,,,12-30-2017,,,,,,,,,,95282.08333333333
6396,,,,,12-30-2017,,,,,,,,,,47252.166666666664
6540,,,,,12-30-2017,,,,,,,,,,70274.41666666667
6648,,,,,12-30-2017,,,,,,,,,,10561.25
6708,,,,,12-30-2017,,,,,,,,,,592.4166666666666
6840,,,,,12-30-2017,,,,,,,,,,811698.0
7167,,,,,12-30-2017,,,,,,,,,,18978.416666666668
7260,,,,,12-30-2017,,,,,,,,,,398867.6666666667
7356,,,,,12-30-2017,,,,,,,,,,747872.9166666666
7560,,,,,12-30-2017,,,,,,,,,,3769.4166666666665
7752,,,,,12-30-2017,,,,,,,,,,45739.083333333336
7860,,,,,12-30-2017,,,,,,,,,,559827.1666666666
7980,,,,,12-30-2017,,,,,,,,,,3458390.1666666665
672,,,,,12-30-2016,,,,,,,,,,28543.75
732,,,,,12-30-2016,,,,,,,,,,108408.58333333333
996,,,,,12-30-2016,,,,,,,,,,233.33333333333334
1128,,,,,12-30-2016,,,,,,,,,,28329.0
1188,,,,,12-30-2016,,,,,,,,,,127990.58333333333
1512,,,,,12-30-2016,,,,,,,,,,6552.333333333333
1620,,,,,12-30-2016,,,,,,,,,,1399750.0
1728,,,,,12-30-2016,,,,,,,,,,102254.75
1923,,,,,12-30-2016,,,,,,,,,,1420470.0833333333
2136,,,,,12-30-2016,,,,,,,,,,0.0
2220,,,,,12-30-2016,,,,,,,,,,24007.666666666668
2400,,,,,12-30-2016,,,,,,,,,,298853.25
2508,,,,,12-30-2016,,,,,,,,,,22442.5
2604,,,,,12-30-2016,,,,,,,,,,485482.6666666667
2712,,,,,12-30-2016,,,,,,,,,,6340.833333333333
2964,,,,,12-30-2016,,,,,,,,,,866.0833333333334
3072,,,,,12-30-2016,,,,,,,,,,9666.666666666666
3144,,,,,12-30-2016,,,,,,,,,,91221.5
3468,,,,,12-30-2016,,,,,,,,,,173517.33333333334
3576,,,,,12-30-2016,,,,,,,,,,167180.58333333334
3780,,,,,12-30-2016,,,,,,,,,,55844.083333333336
3876,,,,,12-30-2016,,,,,,,,,,5990.916666666667
4092,,,,,12-30-2016,,,,,,,,,,12780.25
4248,,,,,12-30-2016,,,,,,,,,,62689.833333333336
4380,,,,,12-30-2016,,,,,,,,,,431675.0833333333
4488,,,,,12-30-2016,,,,,,,,,,343335.75
4587,,,,,12-30-2016,,,,,,,,,,173009.83333333334
4692,,,,,12-30-2016,,,,,,,,,,17123.083333333332
5376,,,,,12-30-2016,,,,,,,,,,1081458.9166666667
5844,,,,,12-30-2016,,,,,,,,,,77348.5
6060,,,,,12-30-2016,,,,,,,,,,13826.416666666666
6156,,,,,12-30-2016,,,,,,,,,,152861.33333333334
6303,,,,,12-30-2016,,,,,,,,,,97461.5
6408,,,,,12-30-2016,,,,,,,,,,41409.916666666664
6552,,,,,12-30-2016,,,,,,,,,,33598.416666666664
6852,,,,,12-30-2016,,,,,,,,,,705129.4166666666
7179,,,,,12-30-2016,,,,,,,,,,31560.416666666668
7272,,,,,12-30-2016,,,,,,,,,,342157.8333333333
7368,,,,,12-30-2016,,,,,,,,,,514898.75
7572,,,,,12-30-2016,,,,,,,,,,3026.6666666666665
7764,,,,,12-30-2016,,,,,,,,,,100858.25
7872,,,,,12-30-2016,,,,,,,,,,698280.25
7992,,,,,12-30-2016,,,,,,,,,,3214162.0
648,,,,,12-30-2015,,,,,,,,,,5400.166666666667
660,,,,,12-30-2015,,,,,,,,,,22772.083333333332
720,,,,,12-30-2015,,,,,,,,,,89696.66666666667
912,,,,,12-30-2015,,,,,,,,,,132533.0
984,,,,,12-30-2015,,,,,,,,,,163.08333333333334
1116,,,,,12-30-2015,,,,,,,,,,47778.083333333336
1176,,,,,12-30-2015,,,,,,,,,,143921.08333333334
1260,,,,,12-30-2015,,,,,,,,,,145532.91666666666
1299,,,,,12-30-2015,,,,,,,,,,0.0
1524,,,,,12-30-2015,,,,,,,,,,23485.416666666668
1632,,,,,12-30-2015,,,,,,,,,,1316916.6666666667
1740,,,,,12-30-2015,,,,,,,,,,108248.25
1935,,,,,12-30-2015,,,,,,,,,,1294639.0833333333
2148,,,,,12-30-2015,,,,,,,,,,107.08333333333333
2412,,,,,12-30-2015,,,,,,,,,,213434.5
2520,,,,,12-30-2015,,,,,,,,,,13018.833333333334
2616,,,,,12-30-2015,,,,,,,,,,798910.8333333334
2724,,,,,12-30-2015,,,,,,,,,,15688.0
2976,,,,,12-30-2015,,,,,,,,,,1033.9166666666667
3084,,,,,12-30-2015,,,,,,,,,,6635.0
3156,,,,,12-30-2015,,,,,,,,,,79697.25
3480,,,,,12-30-2015,,,,,,,,,,261149.16666666666
3588,,,,,12-30-2015,,,,,,,,,,178294.66666666666
3792,,,,,12-30-2015,,,,,,,,,,45580.75
3888,,,,,12-30-2015,,,,,,,,,,3944.1666666666665
4104,,,,,12-30-2015,,,,,,,,,,22825.25
4260,,,,,12-30-2015,,,,,,,,,,64438.5
4392,,,,,12-30-2015,,,,,,,,,,489148.25
4500,,,,,12-30-2015,,,,,,,,,,427303.25
4599,,,,,12-30-2015,,,,,,,,,,1414.5
4704,,,,,12-30-2015,,,,,,,,,,11915.583333333334
5388,,,,,12-30-2015,,,,,,,,,,1174293.25
5856,,,,,12-30-2015,,,,,,,,,,69583.91666666667
6072,,,,,12-30-2015,,,,,,,,,,3157.9166666666665
6168,,,,,12-30-2015,,,,,,,,,,186841.25
6315,,,,,12-30-2015,,,,,,,,,,90107.41666666667
6420,,,,,12-30-2015,,,,,,,,,,33607.416666666664
6564,,,,,12-30-2015,,,,,,,,,,32609.083333333332
6864,,,,,12-30-2015,,,,,,,,,,584180.8333333334
7191,,,,,12-30-2015,,,,,,,,,,77174.33333333333
7284,,,,,12-30-2015,,,,,,,,,,215749.75
7380,,,,,12-30-2015,,,,,,,,,,201496.75
7584,,,,,12-30-2015,,,,,,,,,,1996.75
7776,,,,,12-30-2015,,,,,,,,,,59588.0
7884,,,,,12-30-2015,,,,,,,,,,364110.8333333333
8004,,,,,12-30-2015,,,,,,,,,,2601257.3333333335
1536,,,,,12-30-2014,,,,,,,,,,22282.083333333332
1644,,,,,12-30-2014,,,,,,,,,,1081916.6666666667
1752,,,,,12-30-2014,,,,,,,,,,160963.58333333334
1947,,,,,12-30-2014,,,,,,,,,,1395021.5
2160,,,,,12-30-2014,,,,,,,,,,0.0
2424,,,,,12-30-2014,,,,,,,,,,187273.16666666666
2532,,,,,12-30-2014,,,,,,,,,,9394.166666666666
2628,,,,,12-30-2014,,,,,,,,,,575860.5833333334
2736,,,,,12-30-2014,,,,,,,,,,23933.666666666668
2988,,,,,12-30-2014,,,,,,,,,,248.25
3168,,,,,12-30-2014,,,,,,,,,,62358.166666666664
3492,,,,,12-30-2014,,,,,,,,,,168254.16666666666
3600,,,,,12-30-2014,,,,,,,,,,158119.5
3684,,,,,12-30-2014,,,,,,,,,,160558.75
3804,,,,,12-30-2014,,,,,,,,,,40970.083333333336
3900,,,,,12-30-2014,,,,,,,,,,7899.666666666667
4116,,,,,12-30-2014,,,,,,,,,,17487.833333333332
4272,,,,,12-30-2014,,,,,,,,,,41980.583333333336
4404,,,,,12-30-2014,,,,,,,,,,430253.6666666667
4512,,,,,12-30-2014,,,,,,,,,,301377.5833333333
4611,,,,,12-30-2014,,,,,,,,,,29173.0
4716,,,,,12-30-2014,,,,,,,,,,13215.583333333334
5400,,,,,12-30-2014,,,,,,,,,,1275365.6666666667
5868,,,,,12-30-2014,,,,,,,,,,76337.0
6084,,,,,12-30-2014,,,,,,,,,,4414.583333333333
6180,,,,,12-30-2014,,,,,,,,,,210883.0
6327,,,,,12-30-2014,,,,,,,,,,97061.33333333333
6432,,,,,12-30-2014,,,,,,,,,,30334.916666666668
6576,,,,,12-30-2014,,,,,,,,,,27681.416666666668
6876,,,,,12-30-2014,,,,,,,,,,585250.75
7203,,,,,12-30-2014,,,,,,,,,,53202.75
7296,,,,,12-30-2014,,,,,,,,,,238935.66666666666
7392,,,,,12-30-2014,,,,,,,,,,153954.83333333334
7596,,,,,12-30-2014,,,,,,,,,,2117.25
7788,,,,,12-30-2014,,,,,,,,,,49670.25
7896,,,,,12-30-2014,,,,,,,,,,372956.5
8016,,,,,12-30-2014,,,,,,,,,,2017429.6666666667
1548,,,,,12-30-2013,,,,,,,,,,11694.0
1656,,,,,12-30-2013,,,,,,,,,,1887083.3333333333
1764,,,,,12-30-2013,,,,,,,,,,108007.5
1959,,,,,12-30-2013,,,,,,,,,,1633088.5
2436,,,,,12-30-2013,,,,,,,,,,161793.66666666666
2640,,,,,12-30-2013,,,,,,,,,,346535.1666666667
2748,,,,,12-30-2013,,,,,,,,,,17259.75
3000,,,,,12-30-2013,,,,,,,,,,1010.8333333333334
3180,,,,,12-30-2013,,,,,,,,,,52716.833333333336
3288,,,,,12-30-2013,,,,,,,,,,675821.0
3504,,,,,12-30-2013,,,,,,,,,,179946.0
3612,,,,,12-30-2013,,,,,,,,,,217173.41666666666
3816,,,,,12-30-2013,,,,,,,,,,97334.25
4128,,,,,12-30-2013,,,,,,,,,,17865.5
4284,,,,,12-30-2013,,,,,,,,,,46669.0
4416,,,,,12-30-2013,,,,,,,,,,349654.0
4524,,,,,12-30-2013,,,,,,,,,,313606.9166666667
4623,,,,,12-30-2013,,,,,,,,,,25367.666666666668
4728,,,,,12-30-2013,,,,,,,,,,991.75
5412,,,,,12-30-2013,,,,,,,,,,1389869.9166666667
5880,,,,,12-30-2013,,,,,,,,,,129037.08333333333
6339,,,,,12-30-2013,,,,,,,,,,69447.25
6444,,,,,12-30-2013,,,,,,,,,,25410.833333333332
6588,,,,,12-30-2013,,,,,,,,,,28726.833333333332
6888,,,,,12-30-2013,,,,,,,,,,717048.9166666666
7215,,,,,12-30-2013,,,,,,,,,,12161.75
7404,,,,,12-30-2013,,,,,,,,,,343707.8333333333
7608,,,,,12-30-2013,,,,,,,,,,2064.75
7800,,,,,12-30-2013,,,,,,,,,,44212.0
7908,,,,,12-30-2013,,,,,,,,,,301674.0833333333
8028,,,,,12-30-2013,,,,,,,,,,2518473.0833333335
1351,,,,,11-30-2022,,,,,,,,,,23218.0
2227,,,,,11-30-2022,,,,,,,,,,26698.333333333332
3379,,,,,11-30-2022,,,,,,,,,,36761.5
5083,,,,,11-30-2022,,,,,,,,,,597632.8333333334
1363,,,,,11-30-2021,,,,,,,,,,18954.0
1453,,,,,11-30-2021,,,,,,,,,,22607.583333333332
1561,,,,,11-30-2021,,,,,,,,,,726250.0
1669,,,,,11-30-2021,,,,,,,,,,150485.16666666666
1771,,,,,11-30-2021,,,,,,,,,,55871.083333333336
1864,,,,,11-30-2021,,,,,,,,,,2189755.0
1963,,,,,11-30-2021,,,,,,,,,,216989.33333333334
2077,,,,,11-30-2021,,,,,,,,,,133.33333333333334
2173,,,,,11-30-2021,,,,,,,,,,40120.416666666664
2239,,,,,11-30-2021,,,,,,,,,,26562.583333333332
2341,,,,,11-30-2021,,,,,,,,,,283713.5833333333
2449,,,,,11-30-2021,,,,,,,,,,37642.833333333336
2545,,,,,11-30-2021,,,,,,,,,,1203891.6666666667
2653,,,,,11-30-2021,,,,,,,,,,192191.91666666666
2755,,,,,11-30-2021,,,,,,,,,,0.0
2905,,,,,11-30-2021,,,,,,,,,,1156.4166666666667
3013,,,,,11-30-2021,,,,,,,,,,57997.25
3097,,,,,11-30-2021,,,,,,,,,,74728.25
3391,,,,,11-30-2021,,,,,,,,,,20519.166666666668
3517,,,,,11-30-2021,,,,,,,,,,1203029.0
3625,,,,,11-30-2021,,,,,,,,,,310377.3333333333
3691,,,,,11-30-2021,,,,,,,,,,2273.3333333333335
3721,,,,,11-30-2021,,,,,,,,,,326102.8333333333
3907,,,,,11-30-2021,,,,,,,,,,833.3333333333334
4033,,,,,11-30-2021,,,,,,,,,,151779.5
4135,,,,,11-30-2021,,,,,,,,,,40209.333333333336
4189,,,,,11-30-2021,,,,,,,,,,72737.91666666667
4291,,,,,11-30-2021,,,,,,,,,,13420.916666666666
4321,,,,,11-30-2021,,,,,,,,,,1042094.4166666666
4429,,,,,11-30-2021,,,,,,,,,,31155.333333333332
4633,,,,,11-30-2021,,,,,,,,,,33384.0
4735,,,,,11-30-2021,,,,,,,,,,271371.6666666667
4837,,,,,11-30-2021,,,,,,,,,,124316.5
4867,,,,,11-30-2021,,,,,,,,,,19089.5
4981,,,,,11-30-2021,,,,,,,,,,129427.58333333333
5095,,,,,11-30-2021,,,,,,,,,,390757.5
5203,,,,,11-30-2021,,,,,,,,,,230316.0
5317,,,,,11-30-2021,,,,,,,,,,474201.25
5431,,,,,11-30-2021,,,,,,,,,,1272.0833333333333
5641,,,,,11-30-2021,,,,,,,,,,752.0833333333334
5671,,,,,11-30-2021,,,,,,,,,,25141.083333333332
5785,,,,,11-30-2021,,,,,,,,,,109559.0
5887,,,,,11-30-2021,,,,,,,,,,351643.6666666667
6001,,,,,11-30-2021,,,,,,,,,,7194.5
6097,,,,,11-30-2021,,,,,,,,,,209461.33333333334
6349,,,,,11-30-2021,,,,,,,,,,53319.0
6457,,,,,11-30-2021,,,,,,,,,,29424.5
