EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
331146733_2017,THINK DIGNITY,331146733,2017,12-31-2017,92104.0,0,4925,15100,0,106172,255771,0,381968,275796
331146733_2016,THINK DIGNITY,331146733,2016,12-31-2016,92104.0,0,3445,20231,0,121084,114551,11272,259311,138227
331146733_2014,GIRLS THINK TANK,331146733,2014,12-31-2014,92101.0,0,8885,0,0,0,94368,0,103253,103253
952111196_2013,ST PAULS EPISCOPAL HOME INC,952111196.0,2013.0,08-31-2014,0.0,0,0,0,0,0,2001843,0,2001843,2001843
953315571_2021,CASA DE AMPARO,953315571.0,2021.0,06-30-2022,92069.0,0,0,583861,0,7481645,2820702,242271,10886208,3404563
953315571_2020,CASA DE AMPARO,953315571.0,2020.0,06-30-2021,92069.0,0,0,330639,0,8632004,4259264,541051,13221907,4589903
953315571_2019,CASA DE AMPARO,953315571.0,2019.0,06-30-2020,92069.0,0,0,128260,0,8253706,1511144,229425,9893110,1639404
953315571_2018,CASA DE AMPARO,953315571.0,2018.0,06-30-2019,92069.0,0,0,119380,0,402566,1441065,319577,1963011,1560445
953315571_2017,CASA DE AMPARO,953315571.0,2017.0,06-30-2018,92069.0,1924,0,14888,0,5669765,1737039,408738,7423616,1753851
953315571_2016,CASA DE AMPARO,953315571.0,2016.0,06-30-2017,92069.0,11487,0,225830,0,222038,3348922,486662,3808277,3586239
953315571_2015,CASA DE AMPARO,953315571.0,2015.0,06-30-2016,92069.0,14662,0,337599,0,191203,2208953,424543,2752417,2561214
953315571_2014,CASA DE AMPARO,953315571.0,2014.0,06-30-2015,92069.0,21271,0,406648,0,0,1819359,526420,2247278,2247278
953315571_2013,CASA DE AMPARO,953315571.0,2013.0,06-30-2014,0.0,19803,0,352886,0,0,1568835,376849,1941524,1941524
952794253_2021,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,952794253.0,2021.0,06-30-2022,92084.0,0,0,0,0,13405575,451714,223226,13857289,451714
952794253_2020,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,952794253.0,2020.0,06-30-2021,92056.0,0,0,0,0,13098737,679469,189639,13778206,679469
952794253_2019,NORTH COUNTY LIFELINE INC,952794253.0,2019.0,06-30-2020,92056.0,0,0,0,0,12446965,392396,251569,12839361,392396
952794253_2018,NORTH COUNTY LIFELINE INC,952794253.0,2018.0,06-30-2019,92056.0,0,0,0,0,10496439,353245,235480,10849684,353245
952794253_2017,NORTH COUNTY LIFELINE INC,952794253.0,2017.0,06-30-2018,92056.0,0,0,0,0,9738384,287018,207107,10025402,287018
952794253_2016,NORTH COUNTY LIFELINE INC,952794253.0,2016.0,06-30-2017,92056.0,0,0,0,0,7910489,269310,107107,8179799,269310
952794253_2015,NORTH COUNTY LIFELINE INC,952794253.0,2015.0,06-30-2016,92056.0,0,0,0,0,7008292,156226,71467,7164518,156226
952794253_2014,NORTH COUNTY LIFELINE INC,952794253.0,2014.0,06-30-2015,92056.0,0,0,0,0,6666125,112730,70794,6778855,112730
953950196_2021,PATH,953950196.0,2021.0,06-30-2022,90004.0,0,0,2021876,0,102856183,12424824,3290463,117302883,14446700
953950196_2020,PATH,953950196.0,2020.0,06-30-2021,90004.0,0,0,2014718,0,90762040,8823906,2984796,101600664,10838624
953950196_2019,PEOPLE ASSISTING THE HOMELESS PATH,953950196.0,2019.0,06-30-2020,90004.0,0,0,1396211,0,65986770,8928718,2559870,76311699,10324929
953950196_2018,PATH PEOPLE ASSISTING THE HOMELESS,953950196.0,2018.0,06-30-2019,90004.0,0,0,1610529,0,31146536,6280302,2590243,39037367,7890831
953950196_2017,PEOPLE ASSISTING THE HOMELESS PATH,953950196.0,2017.0,06-30-2018,90004.0,0,0,1365374,0,27838533,6808261,0,36012168,8173635
953950196_2016,PEOPLE ASSISTING THE HOMELESS PATH,953950196.0,2016.0,06-30-2017,90004.0,0,0,814730,0,24298231,5011062,0,30124023,5825792
953950196_2015,PEOPLE ASSISTING THE HOMELESS PATH,953950196.0,2015.0,06-30-2016,90004.0,0,0,1093424,0,24266426,8493506,0,33853356,9586930
953950196_2014,PEOPLE ASSISTING THE HOMELESS PATH,953950196.0,2014.0,06-30-2015,90004.0,0,0,797711,0,15034116,6112616,0,21944443,6910327
953950196_2013,PEOPLE ASSISTING THE HOMELESS PATH,953950196.0,2013.0,06-30-2014,0.0,0,0,890986,0,10971394,3267436,0,15129816,4158422
330352148_2021,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2021.0,06-30-2022,92138.0,0,0,0,157000,1981922,2149303,0,4288225,2306303
330352148_2020,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2020.0,06-30-2021,92138.0,0,0,0,130000,1958200,59307,0,2147507,189307
330352148_2019,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2019.0,06-30-2020,92138.0,0,0,0,90000,1262411,926461,0,2278872,1016461
330352148_2018,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2018.0,06-30-2019,92138.0,0,0,0,126000,533845,222315,0,882160,348315
330352148_2017,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2017.0,06-30-2018,92138.0,0,0,0,129490,582820,139711,0,852021,269201
330352148_2016,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2016.0,06-30-2017,921380156.0,0,0,0,0,416078,76090,3900,492168,76090
330352148_2015,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2015.0,06-30-2016,921380156.0,0,0,0,0,597550,188256,0,785806,188256
330352148_2014,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2014.0,06-30-2015,921380156.0,0,0,60500,0,56744,226704,0,343948,287204
330352148_2013,URBAN CORPS OF SAN DIEGO COUNTY,330352148.0,2013.0,06-30-2014,0.0,0,0,0,0,50000,207117,50000,257117,207117
330497515_2021,LAS PALMAS FOUNDATION,330497515.0,2021.0,12-31-2021,92024.0,0,0,0,0,0,0,0,0,0
330497515_2020,LAS PALMAS FOUNDATION,330497515.0,2020.0,12-31-2020,92024.0,0,0,0,0,0,0,0,0,0
330497515_2019,LAS PALMAS FOUNDATION,330497515.0,2019.0,12-31-2019,92024.0,0,0,0,0,0,600,0,600,600
330497515_2018,LAS PALMAS FOUNDATION,330497515.0,2018.0,12-31-2018,92024.0,0,0,0,0,0,300,0,300,300
330497515_2017,LAS PALMAS FOUNDATION,330497515.0,2017.0,12-31-2017,92024.0,0,0,0,0,0,550,0,550,550
330497515_2016,LAS PALMAS FOUNDATION,330497515.0,2016.0,12-31-2016,92024.0,0,0,0,0,0,0,0,0,0
330497515_2015,LAS PALMAS FOUNDATION,330497515.0,2015.0,12-31-2015,92024.0,0,0,0,0,149000,0,0,149000,0
330497515_2014,LAS PALMAS FOUNDATION,330497515.0,2014.0,12-31-2014,92024.0,0,0,0,0,47171,0,0,47171,0
330497515_2013,LAS PALMAS FOUNDATION,330497515.0,2013.0,12-31-2013,0.0,0,0,0,0,357902,0,0,357902,0
953302967_2013,MENTAL HEALTH SYSTEMS INC,953302967,2013,06-30-2014,0.0,0,0,30637,0,0,109691,0,140328,140328
952039198_2020,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123.0,0,0,0,0,131804000,37728000,2305000,169532000,37728000
952039198_2013,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0.0,0,0,22645000,0,45948000,0,7030000,68593000,22645000
952653869_2021,CRASH INC,952653869.0,2021.0,06-30-2022,92108.0,0,0,0,0,4752251,13877,0,4766128,13877
952653869_2020,CRASH INC,952653869.0,2020.0,06-30-2021,92108.0,0,0,0,0,0,12102,0,12102,12102
952653869_2019,CRASH INC,952653869.0,2019.0,06-30-2020,92108.0,0,0,0,0,0,10140,0,10140,10140
952653869_2018,CRASH INC,952653869.0,2018.0,06-30-2019,92108.0,0,0,0,0,0,19567,0,19567,19567
952653869_2017,CRASH INC,952653869.0,2017.0,06-30-2018,92108.0,0,0,0,0,0,5869,0,5869,5869
