,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,EIN_YEAR
25,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0,0,0,22645000,0,45948000,0,7030000,68593000,952039198_2013
26,YMCA OF SAN DIEGO COUNTY,952039198,2021,06-30-2022,92123,0,0,111000,162000,122845000,8442000,517000,131560000,952039198_2021
27,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123,0,0,0,0,131804000,37728000,2305000,169532000,952039198_2020
28,YMCA OF SAN DIEGO COUNTY,952039198,2019,06-30-2020,92123,0,0,0,0,103823000,20816000,0,124639000,952039198_2019
29,YMCA OF SAN DIEGO COUNTY,952039198,2018,06-30-2019,92123,0,0,0,0,92115000,11971000,440000,104086000,952039198_2018
30,YMCA OF SAN DIEGO COUNTY,952039198,2017,06-30-2018,92123,0,0,0,0,79369000,15066000,0,94435000,952039198_2017
31,YMCA OF SAN DIEGO COUNTY,952039198,2016,06-30-2017,92123,0,0,0,0,66857000,16797000,1985000,83654000,952039198_2016
32,YMCA OF SAN DIEGO COUNTY,952039198,2015,06-30-2016,92123,0,0,0,0,59368000,15803000,0,75171000,952039198_2015
33,YMCA OF SAN DIEGO COUNTY,952039198,2014,06-30-2015,92123,0,0,0,0,52614000,12983000,731000,65597000,952039198_2014
34,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0,0,0,22645000,0,45948000,0,7030000,68593000,952039198_2013
35,COMMUNITY RESOURCE CENTER,953497926,2021,06-30-2022,92024,0,0,114007,0,3001809,1691815,1049099,4807631,953497926_2021
36,COMMUNITY RESOURCE CENTER,953497926,2020,06-30-2021,92024,0,0,77637,0,3252755,4043651,1035391,7374043,953497926_2020
37,COMMUNITY RESOURCE CENTER,953497926,2019,06-30-2020,92024,0,0,301149,0,2338255,2490058,627749,5129462,953497926_2019
38,COMMUNITY RESOURCE CENTER,953497926,2018,06-30-2019,92024,347,0,68811,0,1526759,1422107,614244,3018024,953497926_2018
39,COMMUNITY RESOURCE CENTER,953497926,2017,06-30-2018,92024,158,0,73475,0,1305024,1827504,548988,3206161,953497926_2017
40,COMMUNITY RESOURCE CENTER,953497926,2016,06-30-2017,92024,1043,0,4960,0,1074638,1221054,43662,2301695,953497926_2016
41,Community Resource Center,953497926,2015,06-30-2016,92024,2081,0,178433,0,877544,1118465,37633,2176523,953497926_2015
42,COMMUNITY RESOURCE CENTER,953497926,2014,06-30-2015,92024,4086,0,151650,0,112385,1775827,2977,2043948,953497926_2014
43,COMMUNITY RESOURCE CENTER,953497926,2013,06-30-2014,0,5786,0,58671,0,1215256,1231633,13786,2511346,953497926_2013
44,Karen Organization of San Diego,272917644,2021,12-31-2021,92105,0,0,0,0,298246,670453,0,968699,272917644_2021
45,Karen Organization of San Diego,272917644,2020,12-31-2020,92105,0,0,0,0,123825,384902,0,508727,272917644_2020
46,Karen Organization of San Diego,272917644,2019,12-31-2019,92105,0,0,0,0,0,169503,0,169503,272917644_2019
47,Karen Organization of San Diego,272917644,2018,12-31-2018,92105,0,0,0,0,0,188071,0,188071,272917644_2018
48,Karen Organization of San Diego,272917644,2017,12-31-2017,92105,0,0,2888,0,0,132638,0,135526,272917644_2017
49,Karen Organization of San Diego,272917644,2016,12-31-2016,92105,0,0,0,0,0,139470,0,139470,272917644_2016
50,Karen Organization of San Diego,272917644,2015,12-31-2015,92105,0,0,0,0,0,103388,0,103388,272917644_2015
51,SAN DIEGO RESCUE MISSION INC,951874073,2021,09-30-2022,92138,0,0,155764,0,0,26121296,8271604,26277060,951874073_2021
52,SAN DIEGO RESCUE MISSION INC,951874073,2020,09-30-2021,92138,0,0,142855,0,0,21978558,10039786,22121413,951874073_2020
53,SAN DIEGO RESCUE MISSION INC,951874073,2019,09-30-2020,92138,0,0,50825,0,0,16540608,7454894,16591433,951874073_2019
54,SAN DIEGO RESCUE MISSION INC,951874073,2018,09-30-2019,92138,0,0,297819,0,0,16921789,8637829,17219608,951874073_2018
55,SAN DIEGO RESCUE MISSION INC,951874073,2017,09-30-2018,92138,0,0,0,0,0,17095088,9929227,17095088,951874073_2017
56,San Diego Rescue Mission Inc,951874073,2016,09-30-2017,92138,0,0,305400,0,0,16740241,10289900,17045641,951874073_2016
57,San Diego Rescue Mission Inc,951874073,2015,09-30-2016,92138,0,0,265175,0,0,15535669,9304663,15535669,951874073_2015
58,SAN DIEGO RESCUE MISSION INC,951874073,2014,09-30-2015,92138,0,0,0,0,0,16740258,10231347,16740258,951874073_2014
59,SAN DIEGO RESCUE MISSION INC,951874073,2013,09-30-2014,0,0,0,0,0,0,19597062,9632204,19597062,951874073_2013
60,GENERATEHOPE INC,263405689,2021,12-31-2021,92108,0,0,159532,0,321341,2444340,61751,2925213,263405689_2021
61,GENERATEHOPE INC,263405689,2020,12-31-2020,92108,0,0,133830,0,60934,1162044,76861,1356808,263405689_2020
62,GENERATEHOPE INC,263405689,2019,12-31-2019,92108,0,0,190000,0,61264,871044,53273,1122308,263405689_2019
63,GENERATEHOPE INC,263405689,2018,12-31-2018,92108,0,0,204598,0,65995,1195492,317578,1466085,263405689_2018
64,GENERATEHOPE INC,263405689,2017,12-31-2017,92108,0,0,139870,0,83947,705417,149318,929234,263405689_2017
65,GENERATEHOPE INC,263405689,2016,12-31-2016,92108,0,0,0,0,52000,971973,736500,1023973,263405689_2016
66,GENERATEHOPE INC,263405689,2015,12-31-2015,92108,0,0,12315,0,153154,559739,0,725208,263405689_2015
67,GENERATEHOPE INC,263405689,2014,12-31-2014,92108,0,0,0,0,100000,227478,0,327478,263405689_2014
68,GENERATEHOPE INC,263405689,2013,12-31-2013,0,0,0,0,0,100000,179228,0,279228,263405689_2013
69,KIKU GARDENS INC,953368020,2021,06-30-2022,91911,0,0,0,0,0,1600,0,1600,953368020_2021
70,Kiku Gardens Inc,953368020,2020,06-30-2021,91911,0,0,0,0,0,500,0,500,953368020_2020
71,Kiku Gardens Inc,953368020,2019,06-30-2020,91911,0,0,0,0,0,1375,0,1375,953368020_2019
72,Kiku Gardens Inc,953368020,2018,06-30-2019,91911,0,0,0,0,0,4500,0,4500,953368020_2018
73,Kiku Gardens Inc,953368020,2017,06-30-2018,91911,0,0,0,0,0,1301200,0,1301200,953368020_2017
74,Kiku Gardens Inc,953368020,2016,06-30-2017,91911,0,0,0,0,0,0,0,0,953368020_2016
75,Kiku Gardens Inc,953368020,2015,06-30-2016,91911,0,0,1125,0,0,160,0,1285,953368020_2015
76,KIKU GARDENS INC,953368020,2014,06-30-2015,91911,0,0,0,0,0,0,0,0,953368020_2014
77,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2021,06-30-2022,92084,0,0,0,0,391086,481445,0,872531,571214920_2021
78,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2020,06-30-2021,92084,0,0,0,0,422615,692114,0,1114729,571214920_2020
79,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2019,06-30-2020,92084,0,0,0,0,124333,1028389,0,1152722,571214920_2019
80,OPERATION HOPE - VISTA INCORPORATED,571214920,2017,06-30-2018,92084,0,0,0,0,75417,539143,100296,614560,571214920_2017
81,OPERATION HOPE - VISTA INCORPORATED,571214920,2016,06-30-2017,92084,0,0,20689,0,54430,267403,0,342522,571214920_2016
82,THINK DIGNITY,331146733,2022,12-31-2022,92104,0,0,63722,0,213571,256658,19922,533951,331146733_2022
83,THINK DIGNITY,331146733,2021,12-31-2021,92104,0,0,45695,0,189346,273056,63404,508097,331146733_2021
84,THINK DIGNITY,331146733,2020,12-31-2020,92104,0,0,0,0,217312,305452,37406,522764,331146733_2020
85,THINK DIGNITY,331146733,2019,12-31-2019,92104,0,0,48628,0,129001,125440,43807,303069,331146733_2019
86,THINK DIGNITY,331146733,2018,12-31-2018,92104,0,0,33682,0,114747,324226,25426,472655,331146733_2018
87,THINK DIGNITY,331146733,2017,12-31-2017,92104,0,4925,15100,0,106172,255771,0,381968,331146733_2017
88,Think Dignity,331146733,2016,12-31-2016,92104,0,3445,20231,0,121084,114551,11272,259311,331146733_2016
89,Girls Think Tank,331146733,2014,12-31-2014,92101,0,8885,0,0,0,94368,0,103253,331146733_2014
