EIN_YEAR,ba,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
951648184_2016.0,Neighborhood House Assn,951648184,2016.0,92111,4241,0,208120,0,85482020,539917,0,86234298
951648184_2015.0,Neighborhood House Assn,951648184,2015.0,92111,6215,0,193732,0,83944092,573315,0,84717354
951648184_2014.0,NEIGHBORHOOD HOUSE ASSN,951648184,2014.0,92111,7121,0,163374,0,81106064,333272,0,81609831
951648184_2013.0,NEIGHBORHOOD HOUSE ASSN,951648184,2013.0,0,3876,0,89183,0,76395637,466969,287665,76955665
951644024_2020.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2020.0,92123,0,0,72703,7303371,21236898,13159624,247272,41772596
951644024_2019.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2019.0,92123,0,0,8530,2200000,16665713,12516117,122210,31390360
951644024_2018.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2018.0,92123,0,0,382685,2042808,11727667,15812839,126480,29965999
951644024_2017.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2017.0,92123,0,0,291286,1531126,7074276,7917964,286966,16814652
951644024_2016.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2016.0,92123,158030,0,223371,100000,8064950,7980152,118276,16526503
951644024_2015.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2015.0,92123,0,0,88548,70000,7628861,6851622,149927,14639031
951644024_2014.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2014.0,92123,0,0,249428,50000,7072121,6723581,175948,14095130
951644024_2013.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2013.0,0,0,0,131648,1159200,6741356,7313739,140200,15345943
330122462_2021.0,NAMI SAN DIEGO,330122462,2021.0,92123,0,0,256845,0,6911240,1564509,1248249,8732594
330122462_2020.0,NAMI SAN DIEGO,330122462,2020.0,92123,0,0,162038,0,6535082,439141,0,7136261
330122462_2019.0,NAMI SAN DIEGO,330122462,2019.0,92123,0,0,160382,0,5532949,329605,2415,6022936
330122462_2018.0,NAMI SAN DIEGO,330122462,2018.0,92123,0,0,181702,0,5115093,139806,18300,5436601
330122462_2017.0,NAMI SAN DIEGO,330122462,2017.0,92123,0,0,142728,0,5085050,133191,0,5360969
330122462_2016.0,NAMI SAN DIEGO,330122462,2016.0,92123,0,1702,17201,0,5311923,134460,0,5465286
330122462_2015.0,NAMI SAN DIEGO,330122462,2015.0,92123,0,760,17785,0,4623871,255358,0,4897774
330122462_2014.0,NAMI SAN DIEGO,330122462,2014.0,92123,0,1618,136342,0,3196819,71894,0,3406673
330122462_2013.0,NAMI SAN DIEGO,330122462,2013.0,0,0,1881,153276,0,2117637,59229,0,2332023
952949636_2020.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2020.0,92127,0,0,0,0,0,158572,0,158572
952949636_2019.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2019.0,92127,0,0,0,0,132432,0,0,132432
952949636_2018.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2018.0,92127,0,0,0,0,161530,0,0,161530
952949636_2017.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2017.0,92127,0,0,0,0,139382,0,0,139382
952949636_2016.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2016.0,92127,0,0,0,0,141447,0,0,141447
952949636_2015.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2015.0,92127,0,0,0,0,320264,0,0,320264
952949636_2014.0,"CATHEDRAL PLAZA DEVELOPMENT CORP
CO ROYAL PROPERTY MGMT GROUP INC",952949636,2014.0,92127,0,0,0,0,433182,0,0,433182
942358632_2021.0,"WALDEN ENVIRONMENT
DBA WALDEN FAMILY SERVICES",942358632,2021.0,92123,0,0,366680,0,16561736,1186451,10000,18114867
942358632_2020.0,"WALDEN ENVIRONMENT
DBA WALDEN FAMILY SERVICES",942358632,2020.0,92123,0,0,0,0,17100546,833046,3100,17933592
942358632_2019.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2019.0,92123,0,0,1071693,0,16055428,658669,35545,17785790
942358632_2018.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2018.0,92123,0,0,1007674,0,13353015,441793,681176,14802482
942358632_2017.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2017.0,92123,0,0,0,0,0,252500,0,252500
942358632_2016.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2016.0,92123,0,0,0,0,0,433600,1200,433600
942358632_2015.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2015.0,92123,0,0,0,0,0,203057,4040,203057
942358632_2014.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2014.0,92120,0,0,0,0,0,216481,811,216481
942358632_2013.0,"WALDEN ENVIRONMENT INC
DBA WALDEN FAMILY SERVICES",942358632,2013.0,0,0,0,0,0,0,101535,0,101535
952648050_2020.0,SAN DIEGO YOUTH SERVICES,952648050,2020.0,92110,0,0,0,0,19387646,322601,0,19710247
952648050_2019.0,SAN DIEGO YOUTH SERVICES,952648050,2019.0,92110,0,0,0,0,19632420,203870,0,19836290
952648050_2018.0,SAN DIEGO YOUTH SERVICES,952648050,2018.0,92110,0,0,0,0,19070850,144882,0,19215732
952648050_2017.0,SAN DIEGO YOUTH SERVICES,952648050,2017.0,92110,0,0,0,0,17914417,225235,0,18139652
952648050_2016.0,SAN DIEGO YOUTH SERVICES,952648050,2016.0,92110,0,0,0,0,0,339948,0,339948
952648050_2015.0,SAN DIEGO YOUTH SERVICES,952648050,2015.0,92110,0,0,0,0,0,573337,0,573337
952648050_2014.0,SAN DIEGO YOUTH SERVICES,952648050,2014.0,92110,0,0,0,0,0,428399,0,428399
952648050_2013.0,SAN DIEGO YOUTH SERVICES,952648050,2013.0,0,0,0,0,0,0,423479,0,423479
953798088_2021.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2021.0,92127,0,0,0,0,21822,0,0,21822
953798088_2020.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2020.0,92127,0,0,0,0,46247,0,0,46247
953798088_2019.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2019.0,92127,0,0,0,0,60562,0,0,60562
953798088_2018.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2018.0,92127,0,0,0,0,77704,0,0,77704
953798088_2017.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2017.0,92127,0,0,0,0,64454,0,0,64454
953798088_2016.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2016.0,92127,0,0,0,0,61998,0,0,61998
953798088_2015.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2015.0,92127,0,0,0,0,72019,0,0,72019
273390797_2020.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2020.0,92105,0,0,0,0,293380,374295,5000,667675
273390797_2019.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2019.0,92105,0,0,0,0,402438,233989,463,636427
273390797_2018.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2018.0,92105,0,0,0,0,252176,221576,1000,473752
273390797_2017.0,Somali Bantu Association of America,273390797,2017.0,92105,0,0,0,0,0,393129,15488,393129
952213995_2021.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2021.0,92123,4791394,0,0,0,1368458,899021,0,7058873
952213995_2020.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2020.0,92123,5536302,0,108400,0,1403862,742336,0,7790900
952213995_2019.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2019.0,92123,6556292,0,0,0,2803722,1812137,7360,11172151
952213995_2018.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2018.0,92123,7049076,0,70375,0,509810,663710,0,8292971
952213995_2017.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2017.0,92123,7976397,0,0,0,79332,453929,143347,8509658
952213995_2016.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2016.0,92123,11952024,0,107258,0,913342,918225,1833,13890849
952213995_2015.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2015.0,92123,13299476,0,37500,0,901775,754543,10000,14993294
952213995_2014.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2014.0,92123,14528801,0,19500,0,69775,756087,5761,15374163
952213995_2013.0,UNITED WAY OF SAN DIEGO COUNTY,952213995,2013.0,0,14649278,0,17000,0,57024,2012161,23815,16735463
953750738_2020.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2020.0,92127,0,0,0,0,0,0,0,0
953750738_2019.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2019.0,92127,0,0,0,0,0,0,0,0
953750738_2018.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2018.0,92127,0,0,0,0,54330,0,0,54330
953750738_2017.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2017.0,92127,0,0,0,0,56517,0,0,56517
953750738_2016.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2016.0,92127,0,0,0,0,55911,0,0,55911
953750738_2015.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2015.0,92127,0,0,0,0,56788,0,0,56788
953750738_2014.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2014.0,92127,0,0,0,0,55336,0,0,55336
270865318_2021.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2021.0,92021,0,0,0,0,0,4219724,3264414,4219724
270865318_2020.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2020.0,92021,0,0,0,0,0,3247868,2243641,3247868
270865318_2019.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2019.0,92021,0,0,0,0,0,1616436,1140751,1616436
270865318_2018.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2018.0,92021,0,0,0,0,0,2215373,1511646,2215373
270865318_2017.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2017.0,92021,0,0,0,0,80004,1549664,905744,1629668
270865318_2016.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2016.0,92021,0,0,0,0,164573,692054,580726,856627
270865318_2015.0,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2015.0,92021,0,0,0,0,77030,633257,412106,710287
270865318_2014.0,"EAST COUNTY TRANSITIONAL
LIVING CENTER INC",270865318,2014.0,92021,0,0,0,0,0,205197,75,205197
270865318_2013.0,"EAST COUNTY TRANSITIONAL
LIVING CENTER INC",270865318,2013.0,0,0,0,0,0,140946,668090,563555,809036
952111196_2020.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2020.0,92103,0,0,0,460593,1014136,2605006,15000,4079735
952111196_2019.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2019.0,92103,0,0,0,120352,2116459,937706,0,3174517
952111196_2018.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2018.0,92103,0,0,0,175050,5330,1620000,0,1800380
952111196_2017.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2017.0,92103,0,0,0,277177,0,263586,0,540763
952111196_2016.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2016.0,92103,0,0,0,1683986,0,1718750,0,3402736
952111196_2014.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2014.0,921036522,0,0,0,503809,83178,0,0,586987
952111196_2013.0,ST PAUL'S EPISCOPAL HOME INC,952111196,2013.0,0,0,0,0,0,0,2001843,0,2001843
941676390_2021.0,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390,2021.0,95814,0,0,0,0,2186940,161051,0,2347991
941676390_2020.0,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390,2020.0,92025,0,0,0,0,2026456,18802,0,2045258
331029843_2021.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2021.0,92142,0,0,344110,0,0,813456,0,1157566
331029843_2020.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2020.0,92142,179534,0,457183,0,0,402785,0,1039502
331029843_2019.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2019.0,92142,67806,0,167628,0,0,585432,0,820866
331029843_2018.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2018.0,92142,5422,0,0,0,0,1437951,0,1443373
331029843_2017.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2017.0,92123,68432,0,0,0,0,1291416,0,1359848
331029843_2016.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2016.0,92123,61836,0,0,0,0,797617,0,859453
331029843_2015.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2015.0,92123,0,0,148000,0,0,1442396,20500,1590396
331029843_2014.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2014.0,92123,0,0,147250,0,0,565250,2675,712500
331029843_2013.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2013.0,0,0,0,285459,0,0,1426616,14603,1712075
330902617_2021.0,SOLUTIONS FOR CHANGE INC,330902617,2021.0,92083,0,0,344910,0,578971,2752293,20111,3676174
330902617_2020.0,SOLUTIONS FOR CHANGE INC,330902617,2020.0,92083,0,0,10100,0,398625,2433828,0,2842553
330902617_2019.0,SOLUTIONS FOR CHANGE INC,330902617,2019.0,92083,0,0,155775,0,75000,1513911,95223,1744686
330902617_2018.0,SOLUTIONS FOR CHANGE INC,330902617,2018.0,92083,0,0,250677,0,200000,2319654,144589,2770331
330902617_2017.0,SOLUTIONS FOR CHANGE INC,330902617,2017.0,92083,0,0,33059,0,300000,1503790,0,1836849
330902617_2016.0,SOLUTIONS FOR CHANGE INC,330902617,2016.0,92083,0,0,163539,0,0,1694851,14192,1858390
330902617_2015.0,SOLUTIONS FOR CHANGE INC,330902617,2015.0,92083,0,0,649293,0,0,1231933,133368,1881226
330902617_2014.0,SOLUTIONS FOR CHANGE INC,330902617,2014.0,92083,0,0,737190,0,0,1407551,116236,2144741
951945256_2021.0,EPISCOPAL COMMUNITY SERVICES,951945256,2021.0,91950,0,0,194185,0,29144007,718360,0,30056552
951945256_2020.0,EPISCOPAL COMMUNITY SERVICES,951945256,2020.0,91950,0,0,151115,0,26417739,606991,0,27175845
951945256_2019.0,EPISCOPAL COMMUNITY SERVICES,951945256,2019.0,91950,0,0,168750,0,26628948,568432,76845,27366130
951945256_2018.0,EPISCOPAL COMMUNITY SERVICES,951945256,2018.0,91950,0,0,137949,0,25902728,527617,129159,26568294
951945256_2017.0,EPISCOPAL COMMUNITY SERVICES,951945256,2017.0,91950,0,0,124077,0,23934591,719216,0,24777884
951945256_2016.0,Episcopal Community Services,951945256,2016.0,91950,0,0,101625,0,22673613,301556,0,23076794
951945256_2015.0,Episcopal Community Services,951945256,2015.0,91950,0,0,51225,0,22100447,340084,0,22491756
951945256_2014.0,EPISCOPAL COMMUNITY SERVICES,951945256,2014.0,91950,2158,0,40700,0,21298296,289319,0,21630473
951945256_2013.0,EPISCOPAL COMMUNITY SERVICES,951945256,2013.0,0,2552,0,19000,0,19316434,323170,0,19661156
953031682_2020.0,ABLE-DISABLED ADVOCACY INC,953031682,2020.0,92105,0,0,0,0,1945475,284250,220883,2229725
953031682_2019.0,ABLE-DISABLED ADVOCACY INC,953031682,2019.0,92105,0,0,0,0,2019536,488151,404620,2507687
953031682_2018.0,ABLE-DISABLED ADVOCACY INC,953031682,2018.0,92105,0,0,0,0,1962090,377739,237256,2339829
953031682_2017.0,ABLE-DISABLED ADVOCACY INC,953031682,2017.0,92105,0,0,0,0,1996303,141338,49843,2137641
953031682_2016.0,ABLE-DISABLED ADVOCACY INC,953031682,2016.0,92105,0,0,0,0,0,2076118,0,2076118
953031682_2015.0,ABLE-DISABLED ADVOCACY INC,953031682,2015.0,92105,0,0,0,0,1677760,16974,0,1694734
953031682_2014.0,ABLE-DISABLED ADVOCACY INC,953031682,2014.0,92105,0,0,0,0,1698955,350076,0,2049031
953031682_2013.0,ABLE-DISABLED ADVOCACY INC,953031682,2013.0,0,0,0,0,0,1662856,304412,0,1967268
952693142_2021.0,SBCS CORPORATION,952693142,2021.0,91910,0,0,726095,0,82876281,3187139,144304,86789515
952693142_2020.0,SBCS CORPORATION,952693142,2020.0,91910,0,0,0,0,93767513,4511207,411334,98278720
952693142_2019.0,SOUTH BAY COMMUNITY SERVICES,952693142,2019.0,91910,0,0,165510,0,30495738,2038952,78823,32700200
952693142_2018.0,SOUTH BAY COMMUNITY SERVICES,952693142,2018.0,91910,0,0,230647,0,24769279,603727,148832,25603653
952693142_2017.0,SOUTH BAY COMMUNITY SERVICES,952693142,2017.0,91910,0,0,187711,0,23679156,505996,75340,24372863
952693142_2016.0,SOUTH BAY COMMUNITY SERVICES,952693142,2016.0,91910,0,0,158754,0,24108727,511375,194845,24778856
