,EIN_YEAR,Organization Name,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
60,263405689_2014.0,GENERATEHOPE INC,263405689,2014.0,92108,0,0,0,0,100000,227478,0,327478,227478
61,263405689_2013.0,GENERATEHOPE INC,263405689,2013.0,0,0,0,0,0,100000,179228,0,279228,179228
62,953368020_2021.0,KIKU GARDENS INC,953368020,2021.0,91911,0,0,0,0,0,1600,0,1600,1600
63,953368020_2020.0,KIKU GARDENS INC,953368020,2020.0,91911,0,0,0,0,0,500,0,500,500
64,953368020_2019.0,KIKU GARDENS INC,953368020,2019.0,91911,0,0,0,0,0,1375,0,1375,1375
65,953368020_2018.0,KIKU GARDENS INC,953368020,2018.0,91911,0,0,0,0,0,4500,0,4500,4500
66,953368020_2017.0,KIKU GARDENS INC,953368020,2017.0,91911,0,0,0,0,0,1301200,0,1301200,1301200
67,953368020_2016.0,KIKU GARDENS INC,953368020,2016.0,91911,0,0,0,0,0,0,0,0,0
68,953368020_2015.0,KIKU GARDENS INC,953368020,2015.0,91911,0,0,1125,0,0,160,0,1285,1285
69,953368020_2014.0,KIKU GARDENS INC,953368020,2014.0,91911,0,0,0,0,0,0,0,0,0
70,272917644_2021.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2021.0,92105,0,0,0,0,298246,670453,0,968699,670453
71,272917644_2020.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2020.0,92105,0,0,0,0,123825,384902,0,508727,384902
72,272917644_2019.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2019.0,92105,0,0,0,0,0,169503,0,169503,169503
73,272917644_2018.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2018.0,92105,0,0,0,0,0,188071,0,188071,188071
74,272917644_2017.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2017.0,92105,0,0,2888,0,0,132638,0,135526,135526
75,272917644_2016.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2016.0,92105,0,0,0,0,0,139470,0,139470,139470
76,272917644_2015.0,KAREN ORGANIZATION OF SAN DIEGO,272917644,2015.0,92105,0,0,0,0,0,103388,0,103388,103388
77,550806460_2022.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2022.0,91950,0,0,8407,0,291440,270209,0,570056,278616
78,550806460_2021.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2021.0,91950,0,0,0,0,239763,227448,0,467211,227448
79,550806460_2020.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2020.0,91950,0,0,0,0,161068,218547,6000,379615,218547
80,550806460_2019.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2019.0,91950,0,0,0,0,0,269047,0,269047,269047
81,550806460_2018.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2018.0,91950,0,0,0,0,0,297479,0,297479,297479
82,550806460_2017.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2017.0,91950,0,0,0,0,171066,159109,0,330175,159109
83,550806460_2016.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2016.0,91950,0,0,0,0,188786,236171,0,424957,236171
84,550806460_2015.0,BILATERAL SAFETY CORRIDOR COALITION,550806460,2015.0,91950,0,0,0,0,159442,117018,0,276460,117018
85,571214920_2021.0,OPERATION HOPE NORTH COUNTY INCORPORATED,571214920,2021.0,92084,0,0,0,0,391086,481445,0,872531,481445
86,571214920_2020.0,OPERATION HOPE NORTH COUNTY INCORPORATED,571214920,2020.0,92084,0,0,0,0,422615,692114,0,1114729,692114
87,571214920_2019.0,OPERATION HOPE NORTH COUNTY INCORPORATED,571214920,2019.0,92084,0,0,0,0,124333,1028389,0,1152722,1028389
88,571214920_2017.0,OPERATION HOPE  VISTA INCORPORATED,571214920,2017.0,92084,0,0,0,0,75417,539143,100296,614560,539143
89,571214920_2016.0,OPERATION HOPE  VISTA INCORPORATED,571214920,2016.0,92084,0,0,20689,0,54430,267403,0,342522,288092
90,331029843_2018.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2018.0,92142,5422,0,0,0,0,1437951,0,1443373,1443373
91,331029843_2017.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2017.0,92123,68432,0,0,0,0,1291416,0,1359848,1359848
92,331029843_2016.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2016.0,92123,61836,0,0,0,0,797617,0,859453,859453
93,331029843_2015.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2015.0,92123,0,0,148000,0,0,1442396,20500,1590396,1590396
94,331029843_2014.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2014.0,92123,0,0,147250,0,0,565250,2675,712500,712500
95,331029843_2013.0,INFO LINE OF SAN DIEGO COUNTY,331029843,2013.0,0,0,0,285459,0,0,1426616,14603,1712075,1712075
104,465055513_2021.0,URBAN STREET ANGELS INC,465055513,2021.0,92101,0,0,0,0,3099056,482512,0,3581568,482512
105,465055513_2020.0,URBAN STREET ANGELS INC,465055513,2020.0,92101,0,0,0,0,2397198,225223,0,2622421,225223
106,465055513_2019.0,URBAN STREET ANGELS INC,465055513,2019.0,92101,0,0,0,0,1597401,414072,0,2011473,414072
107,465055513_2018.0,URBAN STREET ANGELS INC,465055513,2018.0,92101,0,0,24381,0,713895,112174,0,850450,136555
108,942358632_2021.0,WALDEN ENVIRONMENT DBA WALDEN FAMILY SERVICES,942358632,2021.0,92123,0,0,366680,0,16561736,1186451,10000,18114867,1553131
109,942358632_2020.0,WALDEN ENVIRONMENT DBA WALDEN FAMILY SERVICES,942358632,2020.0,92123,0,0,0,0,17100546,833046,3100,17933592,833046
110,942358632_2019.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2019.0,92123,0,0,1071693,0,16055428,658669,35545,17785790,1730362
111,942358632_2018.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2018.0,92123,0,0,1007674,0,13353015,441793,681176,14802482,1449467
112,942358632_2017.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2017.0,92123,0,0,0,0,0,252500,0,252500,252500
113,942358632_2016.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2016.0,92123,0,0,0,0,0,433600,1200,433600,433600
114,942358632_2015.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2015.0,92123,0,0,0,0,0,203057,4040,203057,203057
115,942358632_2014.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2014.0,92120,0,0,0,0,0,216481,811,216481,216481
116,942358632_2013.0,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2013.0,0,0,0,0,0,0,101535,0,101535,101535
117,951644024_2020.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2020.0,92123,0,0,72703,7303371,21236898,13159624,247272,41772596,20535698
118,951644024_2019.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2019.0,92123,0,0,8530,2200000,16665713,12516117,122210,31390360,14724647
119,951644024_2018.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2018.0,92123,0,0,382685,2042808,11727667,15812839,126480,29965999,18238332
120,951644024_2017.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2017.0,92123,0,0,291286,1531126,7074276,7917964,286966,16814652,9740376
121,951644024_2016.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2016.0,92123,158030,0,223371,100000,8064950,7980152,118276,16526503,8461553
122,951644024_2015.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2015.0,92123,0,0,88548,70000,7628861,6851622,149927,14639031,7010170
123,951644024_2014.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2014.0,92123,0,0,249428,50000,7072121,6723581,175948,14095130,7023009
124,951644024_2013.0,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2013.0,0,0,0,131648,1159200,6741356,7313739,140200,15345943,8604587
125,951869806_2021.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2021.0,92114,1540,0,0,0,20005029,372324,6675,20378893,373864
126,951869806_2020.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2020.0,92114,2330,0,0,0,16520044,2875583,0,19397957,2877913
127,951869806_2019.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2019.0,92114,1859,0,0,0,14166199,2669644,0,16837702,2671503
128,951869806_2018.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2018.0,92114,3151,0,0,0,13243289,3568421,0,16814861,3571572
129,951869806_2017.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2017.0,92114,3609,0,15000,0,12367467,3883995,0,16270071,3902604
130,951869806_2016.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2016.0,92114,1677,0,10000,0,12558042,4108352,19250,16678071,4120029
131,951869806_2015.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2015.0,92114,2336,0,0,0,13495410,5125303,9234,18623049,5127639
132,951869806_2014.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2014.0,92114,3514,0,0,0,12988512,3613017,0,16605043,3616531
133,951869806_2013.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2013.0,0,4012,0,0,0,10148597,3759271,0,13911880,3763283
143,951944230_2020.0,VISTA HILL FOUNDATION,951944230,2020.0,92123,0,0,0,421222,0,0,0,421222,421222
144,951944230_2019.0,VISTA HILL FOUNDATION,951944230,2019.0,92123,0,0,0,829467,0,0,0,829467,829467
145,951944230_2018.0,VISTA HILL FOUNDATION,951944230,2018.0,92123,0,0,0,519227,0,50000,0,569227,569227
146,951944230_2017.0,VISTA HILL FOUNDATION,951944230,2017.0,92123,0,0,0,1143385,0,0,0,1143385,1143385
147,951944230_2016.0,VISTA HILL FOUNDATION,951944230,2016.0,92123,0,0,0,1144538,0,25000,0,1169538,1169538
148,951944230_2015.0,VISTA HILL FOUNDATION,951944230,2015.0,92123,0,0,0,1081289,0,0,0,1081289,1081289
149,951944230_2014.0,VISTA HILL FOUNDATION,951944230,2014.0,92123,0,0,0,1164736,0,0,0,1164736,1164736
150,951944230_2013.0,VISTA HILL FOUNDATION,951944230,2013.0,0,0,0,0,833367,0,0,0,833367,833367
160,952157559_2021.0,PATHFINDERS OF SAN DIEGO,952157559,2021.0,92104,0,0,0,0,1752444,86334,0,1838778,86334
161,952157559_2020.0,PATHFINDERS OF SAN DIEGO,952157559,2020.0,92104,0,0,0,0,1582762,49186,0,1631948,49186
162,952157559_2019.0,PATHFINDERS OF SAN DIEGO,952157559,2019.0,92104,0,0,0,0,1191318,5658,0,1196976,5658
163,952157559_2018.0,PATHFINDERS OF SAN DIEGO,952157559,2018.0,92104,0,0,0,0,1174540,88694,0,1263234,88694
164,952157559_2017.0,PATHFINDERS OF SAN DIEGO,952157559,2017.0,92104,0,0,0,0,544103,44220,0,588323,44220
165,952157559_2016.0,PATHFINDERS OF SAN DIEGO,952157559,2016.0,92104,0,0,0,0,460914,165917,0,626831,165917
166,952157559_2015.0,PATHFINDERS OF SAN DIEGO,952157559,2015.0,92104,0,0,0,0,484499,37895,0,522394,37895
167,952157559_2014.0,PATHFINDERS OF SAN DIEGO,952157559,2014.0,92104,0,0,0,0,482738,52975,0,535713,52975
168,952648050_2020.0,SAN DIEGO YOUTH SERVICES,952648050,2020.0,92110,0,0,0,0,19387646,322601,0,19710247,322601
169,952648050_2019.0,SAN DIEGO YOUTH SERVICES,952648050,2019.0,92110,0,0,0,0,19632420,203870,0,19836290,203870
170,952648050_2018.0,SAN DIEGO YOUTH SERVICES,952648050,2018.0,92110,0,0,0,0,19070850,144882,0,19215732,144882
171,952648050_2017.0,SAN DIEGO YOUTH SERVICES,952648050,2017.0,92110,0,0,0,0,17914417,225235,0,18139652,225235
172,952648050_2016.0,SAN DIEGO YOUTH SERVICES,952648050,2016.0,92110,0,0,0,0,0,339948,0,339948,339948
173,952648050_2015.0,SAN DIEGO YOUTH SERVICES,952648050,2015.0,92110,0,0,0,0,0,573337,0,573337,573337
174,952648050_2014.0,SAN DIEGO YOUTH SERVICES,952648050,2014.0,92110,0,0,0,0,0,428399,0,428399,428399
175,952648050_2013.0,SAN DIEGO YOUTH SERVICES,952648050,2013.0,0,0,0,0,0,0,423479,0,423479,423479
176,952653869_2021.0,CRASH INC,952653869,2021.0,92108,0,0,0,0,4752251,13877,0,4766128,13877
177,952653869_2020.0,CRASH INC,952653869,2020.0,92108,0,0,0,0,0,12102,0,12102,12102
178,952653869_2019.0,CRASH INC,952653869,2019.0,92108,0,0,0,0,0,10140,0,10140,10140
179,952653869_2018.0,CRASH INC,952653869,2018.0,92108,0,0,0,0,0,19567,0,19567,19567
180,952653869_2017.0,CRASH INC,952653869,2017.0,92108,0,0,0,0,0,5869,0,5869,5869
181,952653869_2016.0,CRASH INC,952653869,2016.0,92108,0,0,0,0,0,10393,0,10393,10393
182,952653869_2015.0,CRASH INC,952653869,2015.0,92108,0,0,0,0,0,12407,0,12407,12407
183,952653869_2014.0,CRASH INC,952653869,2014.0,92108,0,0,0,0,0,2979,0,2979,2979
184,952653869_2013.0,CRASH INC,952653869,2013.0,0,0,0,0,0,0,12130,0,12130,12130
185,952833205_2021.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2021.0,92102,0,0,0,0,59753670,14436348,4374735,74190018,14436348
186,952833205_2020.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2020.0,92102,0,0,0,0,49070786,7643862,766795,56714648,7643862
187,952833205_2019.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2019.0,92102,0,0,127428,0,42826769,7746205,0,50700402,7873633
188,952833205_2018.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2018.0,92102,0,0,112377,0,35981688,4781811,0,40875876,4894188
189,952833205_2017.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2017.0,92102,0,0,122474,0,35785124,4490939,0,40398537,4613413
190,952833205_2016.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2016.0,92102,0,0,117163,0,37189601,1889004,0,39195768,2006167
191,952833205_2015.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2015.0,92102,0,0,109028,0,31709294,2030508,206,33848830,2139536
192,952833205_2014.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2014.0,92102,0,0,62739,0,30863316,1834695,0,32760750,1897434
193,952833205_2013.0,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2013.0,0,0,0,180418,0,33396379,2425663,2425663,36002460,2606081
194,952850121_2021.0,SERVING SENIORS,952850121,2021.0,92101,0,0,129000,0,8663919,3595528,0,12388447,3724528
195,952850121_2020.0,SERVING SENIORS,952850121,2020.0,92101,0,0,250845,0,10529880,2712201,0,13492926,2963046
196,952850121_2019.0,SERVING SENIORS,952850121,2019.0,92101,0,0,53970,0,5623675,3947673,0,9625318,4001643
197,952850121_2018.0,SERVING SENIORS,952850121,2018.0,92101,0,0,161620,0,4078668,2248135,124834,6488423,2409755
198,952850121_2017.0,SERVING SENIORS,952850121,2017.0,92101,0,0,101071,0,3298204,1739118,236047,5138393,1840189
199,952850121_2014.0,SERVING SENIORS,952850121,2014.0,92101,0,0,0,0,3260642,1926705,565000,5187347,1926705
200,952880426_2021.0,ELDERHELP OF SAN DIEGO,952880426,2021.0,92123,0,0,105366,0,451724,791373,10245,1348463,896739
201,952880426_2020.0,ELDERHELP OF SAN DIEGO,952880426,2020.0,92123,0,0,109324,0,574130,1219917,37648,1903371,1329241
202,952880426_2019.0,ELDERHELP OF SAN DIEGO,952880426,2019.0,92123,0,0,51009,0,318368,1075276,34594,1444653,1126285
203,952880426_2018.0,ELDERHELP OF SAN DIEGO,952880426,2018.0,92123,0,0,53375,0,313363,762231,37263,1128969,815606
204,952880426_2016.0,ELDERHELP OF SAN DIEGO,952880426,2016.0,92123,0,0,42430,0,357117,1052228,0,1451775,1094658
205,952880426_2015.0,ELDERHELP OF SAN DIEGO,952880426,2015.0,92123,0,0,40155,0,345108,916212,0,1301475,956367
206,952880426_2014.0,ELDERHELP OF SAN DIEGO INC,952880426,2014.0,92120,0,0,26324,0,262646,721974,0,1010944,748298
207,952880426_2013.0,ELDERHELP OF SAN DIEGO INC,952880426,2013.0,0,0,0,41574,0,260872,591028,1890,893474,632602
208,953244085_2021.0,NEW ALTERNATIVES INC,953244085,2021.0,92163,0,0,0,0,0,205330,0,205330,205330
209,953244085_2020.0,NEW ALTERNATIVES INC,953244085,2020.0,92163,0,0,0,0,0,138850,0,138850,138850
210,953244085_2019.0,NEW ALTERNATIVESINC,953244085,2019.0,92163,0,0,0,0,0,291658,0,291658,291658
211,953244085_2018.0,NEW ALTERNATIVESINC,953244085,2018.0,92163,0,0,0,0,0,390047,0,390047,390047
212,953244085_2017.0,NEW ALTERNATIVESINC,953244085,2017.0,92163,0,0,0,0,29308,741356,0,770664,741356
213,953244085_2016.0,NEW ALTERNATIVESINC,953244085,2016.0,92163,0,0,0,0,0,274792,0,274792,274792
214,953244085_2015.0,NEW ALTERNATIVESINC,953244085,2015.0,92163,0,0,0,0,0,467092,0,467092,467092
215,953244085_2014.0,NEW ALTERNATIVESINC,953244085,2014.0,92163,0,0,0,0,0,347574,22000,347574,347574
216,953244085_2013.0,NEW ALTERNATIVESINC,953244085,2013.0,0,0,0,0,0,0,414625,0,414625,414625
217,953248148_2021.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2021.0,92110,0,0,0,0,74600506,24498,0,74625004,24498
218,953248148_2020.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2020.0,92110,0,0,0,0,73708400,74747,0,73783147,74747
219,953248148_2019.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2019.0,92110,0,0,0,0,75268724,49776,0,75318500,49776
220,953248148_2018.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2018.0,92110,0,0,0,0,67698783,40892,0,67739675,40892
221,953248148_2017.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2017.0,92110,0,0,0,0,60139803,45233,0,60185036,45233
222,953248148_2016.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2016.0,92110,0,0,0,0,53517314,36320,0,53553634,36320
223,953248148_2015.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2015.0,92110,0,0,0,0,47272420,23961,0,47296381,23961
224,953248148_2014.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2014.0,92110,0,0,0,0,42669457,25407,0,42694864,25407
225,953248148_2013.0,COMMUNITY RESEARCH FOUNDATION INC,953248148,2013.0,0,0,0,0,0,0,24777,0,24777,24777
235,953315571_2021.0,CASA DE AMPARO,953315571,2021.0,92069,0,0,583861,0,7481645,2820702,242271,10886208,3404563
236,953315571_2020.0,CASA DE AMPARO,953315571,2020.0,92069,0,0,330639,0,8632004,4259264,541051,13221907,4589903
237,953315571_2019.0,CASA DE AMPARO,953315571,2019.0,92069,0,0,128260,0,8253706,1511144,229425,9893110,1639404
238,953315571_2018.0,CASA DE AMPARO,953315571,2018.0,92069,0,0,119380,0,402566,1441065,319577,1963011,1560445
239,953315571_2017.0,CASA DE AMPARO,953315571,2017.0,92069,1924,0,14888,0,5669765,1737039,408738,7423616,1753851
240,953315571_2016.0,CASA DE AMPARO,953315571,2016.0,92069,11487,0,225830,0,222038,3348922,486662,3808277,3586239
241,953315571_2015.0,CASA DE AMPARO,953315571,2015.0,92069,14662,0,337599,0,191203,2208953,424543,2752417,2561214
242,953315571_2014.0,CASA DE AMPARO,953315571,2014.0,92069,21271,0,406648,0,0,1819359,526420,2247278,2247278
243,953315571_2013.0,CASA DE AMPARO,953315571,2013.0,0,19803,0,352886,0,0,1568835,376849,1941524,1941524
244,953649525_2020.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2020.0,92110,0,0,0,0,17344646,919709,140090,18264355,919709
245,953649525_2019.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2019.0,92110,0,0,108285,0,14550486,2660409,90700,17319180,2768694
246,953649525_2018.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2018.0,92110,0,0,0,0,12226507,1663160,68633,13889667,1663160
247,953649525_2017.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2017.0,92110,0,0,0,0,10390777,2934365,37484,13325142,2934365
248,953649525_2016.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2016.0,921102030,0,0,0,0,8454663,1317986,466769,9772649,1317986
