,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
77,UNION OF PAN ASIAN COMMUNITIES,237279074,2016.0,06-30-2017,92102,777,0,118088,0,0,378054,0,496919
78,UNION OF PAN ASIAN COMMUNITIES,237279074,2015.0,06-30-2016,92102,1083,0,120006,0,0,282200,0,403289
79,UNION OF PAN ASIAN COMMUNITIES,237279074,2014.0,06-30-2015,92102,752,0,108729,0,0,254538,0,364019
80,UNION OF PAN ASIAN COMMUNITIES,237279074,2013.0,06-30-2014,0,3256,0,0,0,0,301674,0,304930
81,Not found,237279074,,,0,0,0,0,0,0,0,0,0
82,Not found,237279074,,,0,0,0,0,0,0,0,0,0
83,Not found,237279074,,,0,0,0,0,0,0,0,0,0
84,Not found,237279074,,,0,0,0,0,0,0,0,0,0
85,INFO LINE OF SAN DIEGO COUNTY,331029843,2021.0,06-30-2022,92142,0,0,344110,0,0,813456,0,1157566
86,INFO LINE OF SAN DIEGO COUNTY,331029843,2020.0,06-30-2021,92142,179534,0,457183,0,0,402785,0,1039502
87,INFO LINE OF SAN DIEGO COUNTY,331029843,2019.0,06-30-2020,92142,67806,0,167628,0,0,585432,0,820866
88,INFO LINE OF SAN DIEGO COUNTY,331029843,2018.0,06-30-2019,92142,5422,0,0,0,0,1437951,0,1443373
89,INFO LINE OF SAN DIEGO COUNTY,331029843,2017.0,06-30-2018,92123,68432,0,0,0,0,1291416,0,1359848
90,INFO LINE OF SAN DIEGO COUNTY,331029843,2016.0,06-30-2017,92123,61836,0,0,0,0,797617,0,859453
91,INFO LINE OF SAN DIEGO COUNTY,331029843,2015.0,06-30-2016,92123,0,0,148000,0,0,1442396,20500,1590396
92,INFO LINE OF SAN DIEGO COUNTY,331029843,2014.0,06-30-2015,92123,0,0,147250,0,0,565250,2675,712500
93,INFO LINE OF SAN DIEGO COUNTY,331029843,2013.0,06-30-2014,0,0,0,285459,0,0,1426616,14603,1712075
94,Not found,930623286,,,0,0,0,0,0,0,0,0,0
95,Not found,930623286,,,0,0,0,0,0,0,0,0,0
96,Not found,331029843,,,0,0,0,0,0,0,0,0,0
97,UPLIFT,330210280,2022.0,12-31-2022,92102,0,0,215764,0,0,225374,0,441138
98,UPLIFT,330210280,2021.0,12-31-2021,92102,0,0,53708,0,0,192522,30000,246230
99,Uplift,330210280,2019.0,12-31-2019,92102,0,0,52847,0,0,188329,0,241176
100,ABLE-DISABLED ADVOCACY INC,953031682,2020.0,09-30-2021,92105,0,0,0,0,1945475,284250,220883,2229725
101,ABLE-DISABLED ADVOCACY INC,953031682,2019.0,09-30-2020,92105,0,0,0,0,2019536,488151,404620,2507687
102,ABLE-DISABLED ADVOCACY INC,953031682,2018.0,09-30-2019,92105,0,0,0,0,1962090,377739,237256,2339829
103,ABLE-DISABLED ADVOCACY INC,953031682,2017.0,09-30-2018,92105,0,0,0,0,1996303,141338,49843,2137641
104,ABLE-DISABLED ADVOCACY INC,953031682,2016.0,09-30-2017,92105,0,0,0,0,0,2076118,0,2076118
105,ABLE-DISABLED ADVOCACY INC,953031682,2015.0,09-30-2016,92105,0,0,0,0,1677760,16974,0,1694734
106,ABLE-DISABLED ADVOCACY INC,953031682,2014.0,09-30-2015,92105,0,0,0,0,1698955,350076,0,2049031
107,ABLE-DISABLED ADVOCACY INC,953031682,2013.0,09-30-2014,0,0,0,0,0,1662856,304412,0,1967268
108,Not found,953031682,,,0,0,0,0,0,0,0,0,0
109,Not found,953031682,,,0,0,0,0,0,0,0,0,0
110,Not found,953031682,,,0,0,0,0,0,0,0,0,0
111,Not found,953031682,,,0,0,0,0,0,0,0,0,0
112,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2021.0,12-31-2021,91911,0,0,0,0,44408141,3256460,2136983,47664601
113,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2020.0,12-31-2020,91911,0,0,0,0,35941636,3522954,2632688,39464590
114,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2019.0,12-31-2019,91911,0,0,204555,0,35487026,2434789,2298104,38126370
115,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2018.0,12-31-2018,91911,0,0,35000,0,29811044,2412572,1869374,32258616
116,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2017.0,12-31-2017,91911,0,0,36800,0,27582015,2269306,2049541,29888121
117,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2016.0,12-31-2016,91911,0,0,16800,0,28532127,2003551,1738321,30552478
118,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2015.0,12-31-2015,91911,0,0,125830,0,28333254,925726,893295,29384810
119,"METROPOLITAN AREA ADVISORY COMMITTEE ON
ANTI-POVERTY OF SAN DIEGO COUNTY INC",952457354,2013.0,12-31-2013,0,0,0,0,0,0,254541,0,254541
120,Not found,930623286,,,0,0,0,0,0,0,0,0,0
121,Not found,930623286,,,0,0,0,0,0,0,0,0,0
122,Not found,952457354,,,0,0,0,0,0,0,0,0,0
123,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2021.0,06-30-2022,92101,0,0,521275,0,598626,970523,142849,2090424
124,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2020.0,06-30-2021,92101,0,0,1200,0,462250,2067172,15150,2530622
125,National Conflict Resolution Center,330433314,2019.0,06-30-2020,92101,0,0,0,0,1178817,986074,0,2164891
126,CRISIS HOUSE,330217339,2021.0,06-30-2022,92071,0,0,0,0,2812646,0,74537,2812646
127,CRISIS HOUSE,330217339,2020.0,06-30-2021,92071,0,0,0,0,1923024,491981,49511,2415005
128,Crisis House,330217339,2019.0,06-30-2020,92020,0,0,0,0,1933389,437262,74525,2370651
129,Crisis House,330217339,2018.0,06-30-2019,92020,0,0,10770,0,1424698,512193,118107,1947661
130,Crisis House,330217339,2017.0,06-30-2018,92020,0,0,0,0,1433825,346726,183702,1780551
131,Crisis House,330217339,2016.0,06-30-2017,92020,0,0,0,0,802795,342525,189186,1145320
132,Crisis House,330217339,2015.0,06-30-2016,92020,0,0,0,0,756702,273265,169610,1029967
133,Crisis House,330217339,2014.0,06-30-2015,92020,0,0,0,0,761869,273527,164026,1035396
134,Crisis House,330217339,2013.0,06-30-2014,0,0,0,0,0,789054,207241,151705,996295
135,Not found,330217339,,,0,0,0,0,0,0,0,0,0
136,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2021.0,06-30-2022,92102,0,0,0,0,59753670,14436348,4374735,74190018
137,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2020.0,06-30-2021,92102,0,0,0,0,49070786,7643862,766795,56714648
138,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2019.0,06-30-2020,92102,0,0,127428,0,42826769,7746205,0,50700402
139,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2018.0,06-30-2019,92102,0,0,112377,0,35981688,4781811,0,40875876
140,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2017.0,06-30-2018,92102,0,0,122474,0,35785124,4490939,0,40398537
141,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2016.0,06-30-2017,92102,0,0,117163,0,37189601,1889004,0,39195768
142,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2015.0,06-30-2016,92102,0,0,109028,0,31709294,2030508,206,33848830
143,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2014.0,06-30-2015,92102,0,0,62739,0,30863316,1834695,0,32760750
144,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2013.0,06-30-2014,0,0,0,180418,0,33396379,2425663,2425663,36002460
145,Not found,454126435,,,0,0,0,0,0,0,0,0,0
146,Not found,952833205,,,0,0,0,0,0,0,0,0,0
147,Not found,952833205,,,0,0,0,0,0,0,0,0,0
148,Not found,952833205,,,0,0,0,0,0,0,0,0,0
149,TOWNSPEOPLE,330623634,2021.0,12-31-2021,92104,0,0,0,0,1404789,301693,0,1706482
150,TOWNSPEOPLE,330623634,2020.0,12-31-2020,92103,0,0,0,0,1222446,118579,0,1341025
151,TOWNSPEOPLE,330623634,2019.0,12-31-2019,92103,0,0,0,0,1043179,25747,0,1068926
152,TOWNSPEOPLE,330623634,2018.0,12-31-2018,92103,0,0,0,0,830118,128187,0,958305
153,TOWNSPEOPLE,330623634,2017.0,12-31-2017,92103,0,0,0,0,685289,18984,3430,704273
154,TOWNSPEOPLE,330623634,2016.0,12-31-2016,92103,0,0,0,0,732642,14274,0,746916
155,TOWNSPEOPLE,330623634,2015.0,12-31-2015,92103,0,0,0,0,450427,16277,0,466704
156,TOWNSPEOPLE,330623634,2014.0,12-31-2014,92103,0,0,0,0,326207,44853,0,371060
157,TOWNSPEOPLE,330623634,2013.0,12-31-2013,0,0,0,0,0,595951,35474,0,631425
158,Not found,330623634,,,0,0,0,0,0,0,0,0,0
159,Not found,330623634,,,0,0,0,0,0,0,0,0,0
160,Not found,330623634,,,0,0,0,0,0,0,0,0,0
161,Las Palmas Foundation,330497515,2021.0,12-31-2021,92024,0,0,0,0,0,0,0,0
162,Las Palmas Foundation,330497515,2020.0,12-31-2020,92024,0,0,0,0,0,0,0,0
163,Las Palmas Foundation,330497515,2019.0,12-31-2019,92024,0,0,0,0,0,600,0,600
164,Las Palmas Foundation,330497515,2018.0,12-31-2018,92024,0,0,0,0,0,300,0,300
165,Las Palmas Foundation,330497515,2017.0,12-31-2017,92024,0,0,0,0,0,550,0,550
166,Las Palmas Foundation,330497515,2016.0,12-31-2016,92024,0,0,0,0,0,0,0,0
167,Las Palmas Foundation,330497515,2015.0,12-31-2015,92024,0,0,0,0,149000,0,0,149000
168,Las Palmas Foundation,330497515,2014.0,12-31-2014,92024,0,0,0,0,47171,0,0,47171
169,LAS PALMAS FOUNDATION,330497515,2013.0,12-31-2013,0,0,0,0,0,357902,0,0,357902
170,Not found,330497515,,,0,0,0,0,0,0,0,0,0
171,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2020.0,06-30-2021,92105,0,0,0,0,293380,374295,5000,667675
172,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2019.0,06-30-2020,92105,0,0,0,0,402438,233989,463,636427
173,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2018.0,06-30-2019,92105,0,0,0,0,252176,221576,1000,473752
174,Somali Bantu Association of America,273390797,2017.0,06-30-2018,92105,0,0,0,0,0,393129,15488,393129
175,COMMUNITY HOUSING WORKS,330317950,2021.0,12-31-2021,92108,0,0,0,1275925,2407658,1487867,0,5171450
176,COMMUNITY HOUSING WORKS,330317950,2020.0,12-31-2020,92108,0,0,0,3252996,1628956,1364328,0,6246280
177,COMMUNITY HOUSING WORKS,330317950,2019.0,12-31-2019,92108,0,0,0,2915400,1426417,944973,0,5286790
178,COMMUNITY HOUSING WORKS,330317950,2018.0,12-31-2018,92108,0,0,0,0,5739760,988317,0,6728077
179,COMMUNITY HOUSING WORKS,330317950,2017.0,12-31-2017,92108,0,0,201036,0,847813,557296,0,1606145
180,COMMUNITY HOUSING WORKS,330317950,2016.0,12-31-2016,92108,0,0,178333,0,910318,501953,0,1590604
181,COMMUNITY HOUSING WORKS,330317950,2015.0,12-31-2015,92108,0,0,0,0,2257896,1355637,0,3613533
182,COMMUNITY HOUSING WORKS,330317950,2014.0,12-31-2014,92108,0,0,0,0,0,2127522,0,2127522
183,COMMUNITY HOUSING WORKS,330317950,2013.0,12-31-2013,0,0,0,0,0,0,3077285,0,3077285
184,Not found,330317950,,,0,0,0,0,0,0,0,0,0
185,Not found,330317950,,,0,0,0,0,0,0,0,0,0
186,Not found,330317950,,,0,0,0,0,0,0,0,0,0
187,URBAN STREET ANGELS INC,465055513,2021.0,12-31-2021,92101,0,0,0,0,3099056,482512,0,3581568
188,URBAN STREET ANGELS INC,465055513,2020.0,12-31-2020,92101,0,0,0,0,2397198,225223,0,2622421
189,URBAN STREET ANGELS INC,465055513,2019.0,12-31-2019,92101,0,0,0,0,1597401,414072,0,2011473
190,URBAN STREET ANGELS INC,465055513,2018.0,12-31-2018,92101,0,0,24381,0,713895,112174,0,850450
191,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2020.0,06-30-2021,92101,0,0,327489,0,0,32833,22000,360322
192,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2019.0,06-30-2020,92101,0,0,581885,0,0,15000,0,596885
193,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2018.0,06-30-2019,92101,0,0,569952,0,0,0,0,569952
194,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2017.0,06-30-2018,92101,0,0,548869,0,0,0,0,548869
195,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2016.0,06-30-2017,92101,0,618896,591403,0,0,0,0,1210299
196,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2015.0,06-30-2016,92101,0,581296,0,0,0,133760,0,715056
197,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2014.0,06-30-2015,92101,0,596043,0,0,0,0,0,596043
198,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2013.0,06-30-2014,0,0,530544,0,0,0,0,0,530544
199,Not found,221478099,,,0,0,0,0,0,0,0,0,0
200,Not found,221478099,,,0,0,0,0,0,0,0,0,0
201,Not found,951729734,,,0,0,0,0,0,0,0,0,0
202,Not found,951729734,,,0,0,0,0,0,0,0,0,0
203,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2020.0,06-30-2021,92123,0,0,0,0,17841834,183535,0,18025369
204,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2019.0,06-30-2020,92123,0,0,0,0,9344677,182239,0,9526916
205,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2018.0,06-30-2019,92123,0,0,0,0,2505451,865020,0,3370471
206,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017.0,06-30-2018,92123,0,0,0,0,2021667,738875,0,2760542
207,Regional Task Force on the Homeless,113723093,2016.0,06-30-2017,92123,0,6677,0,0,1922156,65214,0,1994047
208,Regional Task Force on the Homeless,113723093,2015.0,06-30-2016,92123,0,0,0,0,1110060,47330,0,1157390
209,Regional Task Force on the Homeless Inc,113723093,2014.0,06-30-2015,92123,0,0,0,0,991765,94796,0,1086561
210,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2021.0,12-31-2021,92021,0,0,0,0,0,4219724,3264414,4219724
211,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2020.0,12-31-2020,92021,0,0,0,0,0,3247868,2243641,3247868
212,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2019.0,12-31-2019,92021,0,0,0,0,0,1616436,1140751,1616436
213,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2018.0,12-31-2018,92021,0,0,0,0,0,2215373,1511646,2215373
214,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2017.0,12-31-2017,92021,0,0,0,0,80004,1549664,905744,1629668
215,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2016.0,12-31-2016,92021,0,0,0,0,164573,692054,580726,856627
216,"EAST COUNTY TRANSITIONAL LIVING
CENTER INC",270865318,2015.0,12-31-2015,92021,0,0,0,0,77030,633257,412106,710287
217,"EAST COUNTY TRANSITIONAL
LIVING CENTER INC",270865318,2014.0,12-31-2014,92021,0,0,0,0,0,205197,75,205197
218,"EAST COUNTY TRANSITIONAL
LIVING CENTER INC",270865318,2013.0,12-31-2013,0,0,0,0,0,140946,668090,563555,809036
219,Karen Organization of San Diego,272917644,2021.0,12-31-2021,92105,0,0,0,0,298246,670453,0,968699
220,Karen Organization of San Diego,272917644,2020.0,12-31-2020,92105,0,0,0,0,123825,384902,0,508727
221,Karen Organization of San Diego,272917644,2019.0,12-31-2019,92105,0,0,0,0,0,169503,0,169503
222,Karen Organization of San Diego,272917644,2018.0,12-31-2018,92105,0,0,0,0,0,188071,0,188071
223,Karen Organization of San Diego,272917644,2017.0,12-31-2017,92105,0,0,0,0,0,132638,0,135526
224,Karen Organization of San Diego,272917644,2016.0,12-31-2016,92105,0,0,0,0,0,139470,0,139470
225,Karen Organization of San Diego,272917644,2015.0,12-31-2015,92105,0,0,0,0,0,103388,0,103388
226,OLIVE CREST,952877102,2021.0,06-30-2022,92705,0,0,1748370,0,30839048,10756763,1593022,43344181
227,OLIVE CREST,952877102,2020.0,06-30-2021,92705,0,0,1059264,0,23230878,7369758,1305317,31659900
228,OLIVE CREST,952877102,2019.0,06-30-2020,92705,0,0,869676,0,24484051,6938204,1041307,32291931
229,OLIVE CREST,952877102,2018.0,06-30-2019,92705,4000,0,678924,0,23349562,7598041,1550404,31630527
230,OLIVE CREST,952877102,2017.0,06-30-2018,92705,96,0,605500,0,16321385,7943754,1400071,24870735
231,OLIVE CREST,952877102,2016.0,06-30-2017,92705,10864,0,966205,0,15660595,4203032,1888999,20840696
232,OLIVE CREST,952877102,2015.0,06-30-2016,92705,17333,0,797844,0,15325148,5054602,1772273,21194927
233,OLIVE CREST,952877102,2014.0,06-30-2015,92705,67625,0,1129690,0,16073654,3965729,2100567,21236698
234,OLIVE CREST,952877102,2013.0,06-30-2014,0,76600,0,383135,0,15050240,3736113,1293855,19246088
235,Not found,952877102,,,0,0,0,0,0,0,0,0,0
236,Not found,952877102,,,0,0,0,0,0,0,0,0,0
237,Not found,952877102,,,0,0,0,0,0,0,0,0,0
238,Not found,952877102,,,0,0,0,0,0,0,0,0,0
239,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2021.0,09-30-2022,90275,0,0,0,0,754793,0,0,754793
240,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2020.0,09-30-2021,90275,0,0,0,0,784501,0,0,784501
