,EIN_YEAR,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
22,953497926_2016,COMMUNITY RESOURCE CENTER,953497926,2016,06-30-2017,92024,1043,0,0,0,1074638,1221054,43662,2301695
23,953497926_2015,Community Resource Center,953497926,2015,06-30-2016,92024,2081,0,178433,0,877544,1118465,37633,2176523
24,953497926_2014,COMMUNITY RESOURCE CENTER,953497926,2014,06-30-2015,92024,4086,0,151650,0,112385,1775827,2977,2043948
25,953497926_2013,COMMUNITY RESOURCE CENTER,953497926,2013,06-30-2014,0,5786,0,58671,0,1215256,1231633,13786,2511346
26,263405689_2021,GENERATEHOPE INC,263405689,2021,12-31-2021,92108,0,0,159532,0,321341,2444340,61751,2925213
27,263405689_2020,GENERATEHOPE INC,263405689,2020,12-31-2020,92108,0,0,133830,0,60934,1162044,76861,1356808
28,263405689_2019,GENERATEHOPE INC,263405689,2019,12-31-2019,92108,0,0,190000,0,61264,871044,53273,1122308
29,263405689_2018,GENERATEHOPE INC,263405689,2018,12-31-2018,92108,0,0,204598,0,65995,1195492,317578,1466085
30,263405689_2017,GENERATEHOPE INC,263405689,2017,12-31-2017,92108,0,0,139870,0,83947,705417,149318,929234
31,263405689_2016,GENERATEHOPE INC,263405689,2016,12-31-2016,92108,0,0,0,0,52000,971973,736500,1023973
32,263405689_2015,GENERATEHOPE INC,263405689,2015,12-31-2015,92108,0,0,0,0,153154,559739,0,725208
33,263405689_2014,GENERATEHOPE INC,263405689,2014,12-31-2014,92108,0,0,0,0,100000,227478,0,327478
34,263405689_2013,GENERATEHOPE INC,263405689,2013,12-31-2013,0,0,0,0,0,100000,179228,0,279228
35,953950196_2021,PATH,953950196,2021,06-30-2022,90004,0,0,2021876,0,102856183,12424824,3290463,117302883
36,953950196_2020,PATH,953950196,2020,06-30-2021,90004,0,0,2014718,0,90762040,8823906,2984796,101600664
37,953950196_2019,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2019,06-30-2020,90004,0,0,1396211,0,65986770,8928718,2559870,76311699
38,953950196_2018,PATH (PEOPLE ASSISTING THE HOMELESS),953950196,2018,06-30-2019,90004,0,0,1610529,0,31146536,6280302,2590243,39037367
39,953950196_2017,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2017,06-30-2018,90004,0,0,1365374,0,27838533,6808261,0,36012168
40,953950196_2016,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2016,06-30-2017,90004,0,0,814730,0,24298231,5011062,0,30124023
41,953950196_2015,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2015,06-30-2016,90004,0,0,1093424,0,24266426,8493506,0,33853356
42,953950196_2014,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2014,06-30-2015,90004,0,0,797711,0,15034116,6112616,0,21944443
43,953950196_2013,PEOPLE ASSISTING THE HOMELESS (PATH),953950196,2013,06-30-2014,0,0,0,890986,0,10971394,3267436,0,15129816
44,953649525_2020,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2020,06-30-2021,92110,0,0,0,0,17344646,919709,140090,18264355
45,953649525_2019,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2019,06-30-2020,92110,0,0,108285,0,14550486,2660409,90700,17319180
46,953649525_2018,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2018,06-30-2019,92110,0,0,0,0,12226507,1663160,68633,13889667
47,953649525_2017,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2017,06-30-2018,92110,0,0,0,0,10390777,2934365,37484,13325142
48,953649525_2016,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2016,06-30-2017,921102030,0,0,0,0,8454663,1317986,466769,9772649
49,953649525_2015,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2015,06-30-2016,921102030,0,0,0,0,8368757,1746395,1086348,10115152
50,953649525_2014,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2014,06-30-2015,921102030,0,0,0,0,8258604,1206648,145562,9465252
51,953649525_2013,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2013,06-30-2014,0,0,0,0,0,8169126,1974080,124165,10143206
52,953244085_2021,NEW ALTERNATIVES INC,953244085,2021,12-31-2021,92163,0,0,0,0,0,205330,0,205330
53,953244085_2020,NEW ALTERNATIVES INC,953244085,2020,12-31-2020,92163,0,0,0,0,0,138850,0,138850
54,953244085_2019,NEW ALTERNATIVESINC,953244085,2019,12-31-2019,92163,0,0,0,0,0,291658,0,291658
55,953244085_2018,NEW ALTERNATIVESINC,953244085,2018,12-31-2018,92163,0,0,0,0,0,390047,0,390047
56,953244085_2017,NEW ALTERNATIVESINC,953244085,2017,12-31-2017,92163,0,0,0,0,29308,741356,0,770664
57,953244085_2016,NEW ALTERNATIVESINC,953244085,2016,12-31-2016,92163,0,0,0,0,0,274792,0,274792
58,953244085_2015,NEW ALTERNATIVESINC,953244085,2015,12-31-2015,92163,0,0,0,0,0,467092,0,467092
59,953244085_2014,NEW ALTERNATIVESINC,953244085,2014,12-31-2014,92163,0,0,0,0,0,347574,22000,347574
60,953244085_2013,NEW ALTERNATIVESINC,953244085,2013,12-31-2013,0,0,0,0,0,0,414625,0,414625
61,952422704_2021,ACCESS INC,952422704,2021,06-30-2022,92111,0,0,0,0,2333269,400608,0,2733877
62,952422704_2020,ACCESS INC,952422704,2020,06-30-2021,92111,0,0,0,0,2479269,346767,0,2826036
63,952422704_2019,Access,952422704,2019,06-30-2020,92111,0,0,0,0,3237974,54220,0,3292194
64,952422704_2018,Access Inc,952422704,2018,06-30-2019,92111,0,0,0,0,3128388,155665,0,3284053
65,952422704_2017,Access Inc,952422704,2017,06-30-2018,92111,0,0,0,0,2983795,229551,0,3213346
66,952422704_2016,Access Inc,952422704,2016,06-30-2017,92111,0,0,0,0,3075472,205477,0,3280949
67,952422704_2015,Access Inc,952422704,2015,06-30-2016,92111,0,0,0,0,2146844,142987,0,2289831
68,952422704_2014,Access Inc,952422704,2014,06-30-2015,92111,0,0,0,0,1945811,158587,0,2104398
69,952422704_2013,Access Inc,952422704,2013,06-30-2014,0,0,0,0,0,1846857,11901,0,1858758
70,331029843_2021,INFO LINE OF SAN DIEGO COUNTY,331029843,2021,06-30-2022,92142,0,0,344110,0,0,813456,0,1157566
71,331029843_2020,INFO LINE OF SAN DIEGO COUNTY,331029843,2020,06-30-2021,92142,179534,0,457183,0,0,402785,0,1039502
72,331029843_2019,INFO LINE OF SAN DIEGO COUNTY,331029843,2019,06-30-2020,92142,67806,0,167628,0,0,585432,0,820866
73,331029843_2018,INFO LINE OF SAN DIEGO COUNTY,331029843,2018,06-30-2019,92142,5422,0,0,0,0,1437951,0,1443373
74,331029843_2017,INFO LINE OF SAN DIEGO COUNTY,331029843,2017,06-30-2018,92123,68432,0,0,0,0,1291416,0,1359848
75,331029843_2016,INFO LINE OF SAN DIEGO COUNTY,331029843,2016,06-30-2017,92123,61836,0,0,0,0,797617,0,859453
76,331029843_2015,INFO LINE OF SAN DIEGO COUNTY,331029843,2015,06-30-2016,92123,0,0,148000,0,0,1442396,20500,1590396
77,331029843_2014,INFO LINE OF SAN DIEGO COUNTY,331029843,2014,06-30-2015,92123,0,0,147250,0,0,565250,2675,712500
78,331029843_2013,INFO LINE OF SAN DIEGO COUNTY,331029843,2013,06-30-2014,0,0,0,285459,0,0,1426616,14603,1712075
79,953140767_2021,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2021,06-30-2022,920201651,0,0,0,0,32228251,0,0,32228251
80,953140767_2020,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2020,06-30-2021,920201651,0,0,0,0,33156996,0,0,33156996
81,953140767_2019,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2019,06-30-2020,920201651,0,0,0,0,26829832,0,0,26829832
82,953140767_2018,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2018,06-30-2019,920201651,0,0,0,0,20728534,0,0,20728534
83,953140767_2017,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2017,06-30-2018,920201651,0,0,0,0,15375695,0,0,15375695
84,953140767_2016,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2016,06-30-2017,920201651,0,0,0,0,11827666,0,0,11827666
85,953140767_2015,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2015,06-30-2016,920201651,0,0,0,0,9361362,0,0,9361362
86,953140767_2014,MCALISTER INSTITUTE FOR TREATMENT & EDUCATION INC,953140767,2014,06-30-2015,920201651,0,0,0,0,8713650,0,0,8713650
87,953140767_2013,MCALISTER INSTITUTE FOR TREATMENT & EDUCATION INC,953140767,2013,06-30-2014,0,0,0,0,0,0,8109852,0,8109852
88,330122462_2021,NAMI SAN DIEGO,330122462,2021,06-30-2022,92123,0,0,256845,0,6911240,1564509,1248249,8732594
89,330122462_2020,NAMI SAN DIEGO,330122462,2020,06-30-2021,92123,0,0,162038,0,6535082,439141,0,7136261
90,330122462_2019,NAMI SAN DIEGO,330122462,2019,06-30-2020,92123,0,0,160382,0,5532949,329605,2415,6022936
91,330122462_2018,NAMI SAN DIEGO,330122462,2018,06-30-2019,92123,0,0,181702,0,5115093,139806,18300,5436601
92,330122462_2017,NAMI SAN DIEGO,330122462,2017,06-30-2018,92123,0,0,142728,0,5085050,133191,0,5360969
93,330122462_2016,NAMI SAN DIEGO,330122462,2016,06-30-2017,92123,0,1702,17201,0,5311923,134460,0,5465286
94,330122462_2015,NAMI SAN DIEGO,330122462,2015,06-30-2016,92123,0,760,17785,0,4623871,255358,0,4897774
95,330122462_2014,NAMI SAN DIEGO,330122462,2014,06-30-2015,92123,0,1618,136342,0,3196819,71894,0,3406673
96,330122462_2013,NAMI SAN DIEGO,330122462,2013,06-30-2014,0,0,1881,153276,0,2117637,59229,0,2332023
97,952457354_2021,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2021,12-31-2021,91911,0,0,0,0,44408141,3256460,2136983,47664601
98,952457354_2020,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2020,12-31-2020,91911,0,0,0,0,35941636,3522954,2632688,39464590
99,952457354_2019,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2019,12-31-2019,91911,0,0,204555,0,35487026,2434789,2298104,38126370
100,952457354_2018,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2018,12-31-2018,91911,0,0,35000,0,29811044,2412572,1869374,32258616
101,952457354_2017,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2017,12-31-2017,91911,0,0,36800,0,27582015,2269306,2049541,29888121
102,952457354_2016,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2016,12-31-2016,91911,0,0,16800,0,28532127,2003551,1738321,30552478
103,952457354_2015,Metropolitan Area Advisory Committee on Anti-Poverty of San Diego County In,952457354,2015,12-31-2015,91911,0,0,125830,0,28333254,925726,893295,29384810
104,952457354_2013,"METROPOLITAN AREA ADVISORY COMMITTEE ON
ANTI-POVERTY OF SAN DIEGO COUNTY INC",952457354,2013,12-31-2013,0,0,0,0,0,0,254541,0,254541
105,952039198_2021,YMCA OF SAN DIEGO COUNTY,952039198,2021,06-30-2022,92123,0,0,111000,162000,122845000,8442000,517000,131560000
106,952039198_2020,YMCA OF SAN DIEGO COUNTY,952039198,2020,06-30-2021,92123,0,0,461000,0,131804000,37728000,2305000,169532000
107,952039198_2019,YMCA OF SAN DIEGO COUNTY,952039198,2019,06-30-2020,92123,0,0,0,0,103823000,20816000,0,124639000
108,952039198_2018,YMCA OF SAN DIEGO COUNTY,952039198,2018,06-30-2019,92123,0,0,0,0,92115000,11971000,440000,104086000
109,952039198_2017,YMCA OF SAN DIEGO COUNTY,952039198,2017,06-30-2018,92123,0,0,0,0,79369000,15066000,0,94435000
110,952039198_2016,YMCA OF SAN DIEGO COUNTY,952039198,2016,06-30-2017,92123,0,0,0,0,66857000,16797000,1985000,83654000
111,952039198_2015,YMCA OF SAN DIEGO COUNTY,952039198,2015,06-30-2016,92123,0,0,0,0,59368000,15803000,0,75171000
112,952039198_2014,YMCA OF SAN DIEGO COUNTY,952039198,2014,06-30-2015,92123,0,0,0,0,52614000,12983000,731000,65597000
113,952039198_2013,YMCA OF SAN DIEGO COUNTY,952039198,2013,06-30-2014,0,0,0,0,0,45948000,0,7030000,68593000
114,571214920_2021,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2021,06-30-2022,92084,0,0,0,0,391086,481445,0,872531
115,571214920_2020,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2020,06-30-2021,92084,0,0,0,0,422615,692114,0,1114729
116,571214920_2019,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2019,06-30-2020,92084,0,0,0,0,124333,1028389,0,1152722
117,571214920_2017,OPERATION HOPE - VISTA INCORPORATED,571214920,2017,06-30-2018,92084,0,0,0,0,75417,539143,100296,614560
118,571214920_2016,OPERATION HOPE - VISTA INCORPORATED,571214920,2016,06-30-2017,92084,0,0,0,0,54430,267403,0,342522
119,953315571_2021,CASA DE AMPARO,953315571,2021,06-30-2022,92069,0,0,583861,0,7481645,2820702,242271,10886208
120,953315571_2020,CASA DE AMPARO,953315571,2020,06-30-2021,92069,0,0,330639,0,8632004,4259264,541051,13221907
121,953315571_2019,CASA DE AMPARO,953315571,2019,06-30-2020,92069,0,0,128260,0,8253706,1511144,229425,9893110
122,953315571_2018,CASA DE AMPARO,953315571,2018,06-30-2019,92069,0,0,119380,0,402566,1441065,319577,1963011
123,953315571_2017,CASA DE AMPARO,953315571,2017,06-30-2018,92069,1924,0,14888,0,5669765,1737039,408738,7423616
124,953315571_2016,CASA DE AMPARO,953315571,2016,06-30-2017,92069,11487,0,225830,0,222038,3348922,486662,3808277
125,953315571_2015,CASA DE AMPARO,953315571,2015,06-30-2016,92069,14662,0,337599,0,191203,2208953,424543,2752417
126,953315571_2014,CASA DE AMPARO,953315571,2014,06-30-2015,92069,21271,0,406648,0,0,1819359,526420,2247278
127,953315571_2013,CASA DE AMPARO,953315571,2013,06-30-2014,0,19803,0,352886,0,0,1568835,376849,1941524
128,953248148_2021,COMMUNITY RESEARCH FOUNDATION INC,953248148,2021,06-30-2022,92110,0,0,0,0,74600506,24498,0,74625004
129,953248148_2020,COMMUNITY RESEARCH FOUNDATION INC,953248148,2020,06-30-2021,92110,0,0,0,0,73708400,74747,0,73783147
130,953248148_2019,COMMUNITY RESEARCH FOUNDATION INC,953248148,2019,06-30-2020,92110,0,0,0,0,75268724,49776,0,75318500
131,953248148_2018,COMMUNITY RESEARCH FOUNDATION INC,953248148,2018,06-30-2019,92110,0,0,0,0,67698783,40892,0,67739675
132,953248148_2017,COMMUNITY RESEARCH FOUNDATION INC,953248148,2017,06-30-2018,92110,0,0,0,0,60139803,45233,0,60185036
133,953248148_2016,COMMUNITY RESEARCH FOUNDATION INC,953248148,2016,06-30-2017,92110,0,0,0,0,53517314,36320,0,53553634
134,953248148_2015,COMMUNITY RESEARCH FOUNDATION INC,953248148,2015,06-30-2016,92110,0,0,0,0,47272420,23961,0,47296381
135,953248148_2014,COMMUNITY RESEARCH FOUNDATION INC,953248148,2014,06-30-2015,92110,0,0,0,0,42669457,25407,0,42694864
136,953248148_2013,Community Research Foundation Inc,953248148,2013,06-30-2014,0,0,0,0,0,0,24777,0,24777
137,952833205_2021,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2021,06-30-2022,92102,0,0,0,0,59753670,14436348,4374735,74190018
138,952833205_2020,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2020,06-30-2021,92102,0,0,0,0,49070786,7643862,766795,56714648
139,952833205_2019,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2019,06-30-2020,92102,0,0,127428,0,42826769,7746205,0,50700402
140,952833205_2018,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2018,06-30-2019,92102,0,0,112377,0,35981688,4781811,0,40875876
141,952833205_2017,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2017,06-30-2018,92102,0,0,122474,0,35785124,4490939,0,40398537
142,952833205_2016,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2016,06-30-2017,92102,0,0,117163,0,37189601,1889004,0,39195768
143,952833205_2015,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2015,06-30-2016,92102,0,0,109028,0,31709294,2030508,206,33848830
144,952833205_2014,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2014,06-30-2015,92102,0,0,62739,0,30863316,1834695,0,32760750
145,952833205_2013,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2013,06-30-2014,0,0,0,180418,0,33396379,2425663,2425663,36002460
146,270447059_2021,DREAMS FOR CHANGE INC,270447059,2021,12-31-2021,92176,0,0,0,0,845519,229074,0,1074593
147,270447059_2020,DREAMS FOR CHANGE INC,270447059,2020,12-31-2020,92176,0,0,0,0,717584,434903,0,1152487
148,270447059_2019,Dreams for Change,270447059,2019,12-31-2019,92176,0,0,0,0,600504,421536,0,1022040
149,270447059_2018,Dreams for Change,270447059,2018,12-31-2018,92176,0,0,0,0,345041,492397,0,837438
150,270447059_2017,Dreams for Change,270447059,2017,12-31-2017,92176,0,0,0,0,13723,589875,0,603598
151,270447059_2016,Dreams for Change,270447059,2016,12-31-2016,92176,0,0,0,0,0,367905,0,367905
152,270447059_2015,Dreams for Change,270447059,2015,12-31-2015,92176,0,0,0,0,0,363988,0,363988
153,270447059_2014,Dreams for Change,270447059,2014,12-31-2014,92176,0,0,0,0,0,206298,0,206298
154,270447059_2013,Dreams for Change,270447059,2013,12-31-2013,0,0,0,0,0,23051,82706,0,105757
155,330352148_2021,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2021,06-30-2022,92138,0,0,0,157000,1981922,2149303,0,4288225
156,330352148_2020,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2020,06-30-2021,92138,0,0,0,130000,1958200,59307,0,2147507
157,330352148_2019,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2019,06-30-2020,92138,0,0,0,90000,1262411,926461,0,2278872
158,330352148_2018,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2018,06-30-2019,92138,0,0,0,126000,533845,222315,0,882160
159,330352148_2017,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2017,06-30-2018,92138,0,0,0,129490,582820,139711,0,852021
160,330352148_2016,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2016,06-30-2017,921380156,0,0,0,0,416078,76090,3900,492168
161,330352148_2015,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2015,06-30-2016,921380156,0,0,0,0,597550,188256,0,785806
162,330352148_2014,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2014,06-30-2015,921380156,0,0,60500,0,56744,226704,0,343948
163,330352148_2013,Urban Corps of San Diego County,330352148,2013,06-30-2014,0,0,0,0,0,50000,207117,50000,257117
164,952693142_2021,SBCS CORPORATION,952693142,2021,06-30-2022,91910,0,0,726095,0,82876281,3187139,144304,86789515
165,952693142_2020,SBCS CORPORATION,952693142,2020,06-30-2021,91910,0,0,0,0,93767513,4511207,411334,98278720
166,952693142_2019,SOUTH BAY COMMUNITY SERVICES,952693142,2019,06-30-2020,91910,0,0,165510,0,30495738,2038952,78823,32700200
167,952693142_2018,SOUTH BAY COMMUNITY SERVICES,952693142,2018,06-30-2019,91910,0,0,230647,0,24769279,603727,148832,25603653
168,952693142_2017,SOUTH BAY COMMUNITY SERVICES,952693142,2017,06-30-2018,91910,0,0,187711,0,23679156,505996,75340,24372863
169,952693142_2016,SOUTH BAY COMMUNITY SERVICES,952693142,2016,06-30-2017,91910,0,0,158754,0,24108727,511375,194845,24778856
170,952693142_2015,SOUTH BAY COMMUNITY SERVICES,952693142,2015,06-30-2016,91910,0,0,0,0,23412360,546969,278454,23959329
171,952693142_2014,SOUTH BAY COMMUNITY SERVICES,952693142,2014,06-30-2015,91910,0,0,0,0,23927898,491641,189443,24419539
172,952693142_2013,SOUTH BAY COMMUNITY SERVICES,952693142,2013,06-30-2014,0,0,0,149889,0,21811905,1018122,169822,22979916
173,953798088_2021,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2021,12-31-2021,92127,0,0,0,0,21822,0,0,21822
174,953798088_2020,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2020,12-31-2020,92127,0,0,0,0,46247,0,0,46247
175,953798088_2019,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2019,12-31-2019,92127,0,0,0,0,60562,0,0,60562
176,953798088_2018,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2018,12-31-2018,92127,0,0,0,0,77704,0,0,77704
177,953798088_2017,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2017,12-31-2017,92127,0,0,0,0,64454,0,0,64454
178,953798088_2016,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2016,12-31-2016,92127,0,0,0,0,61998,0,0,61998
179,953798088_2015,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2015,12-31-2015,92127,0,0,0,0,72019,0,0,72019
180,951874073_2021,SAN DIEGO RESCUE MISSION INC,951874073,2021,09-30-2022,92138,0,0,155764,0,0,26121296,8271604,26277060
181,951874073_2020,SAN DIEGO RESCUE MISSION INC,951874073,2020,09-30-2021,92138,0,0,142855,0,0,21978558,10039786,22121413
182,951874073_2019,SAN DIEGO RESCUE MISSION INC,951874073,2019,09-30-2020,92138,0,0,50825,0,0,16540608,7454894,16591433
183,951874073_2018,SAN DIEGO RESCUE MISSION INC,951874073,2018,09-30-2019,92138,0,0,297819,0,0,16921789,8637829,17219608
184,951874073_2017,SAN DIEGO RESCUE MISSION INC,951874073,2017,09-30-2018,92138,0,0,0,0,0,17095088,9929227,17095088
185,951874073_2016,San Diego Rescue Mission Inc,951874073,2016,09-30-2017,92138,0,0,305400,0,0,16740241,10289900,17045641
186,951874073_2015,San Diego Rescue Mission Inc,951874073,2015,09-30-2016,92138,0,0,265175,0,0,15535669,9304663,15535669
187,951874073_2014,SAN DIEGO RESCUE MISSION INC,951874073,2014,09-30-2015,92138,0,0,0,0,0,16740258,10231347,16740258
188,951874073_2013,SAN DIEGO RESCUE MISSION INC,951874073,2013,09-30-2014,0,0,0,0,0,0,19597062,9632204,19597062
189,952648050_2020,SAN DIEGO YOUTH SERVICES,952648050,2020,06-30-2021,92110,0,0,0,0,19387646,322601,0,19710247
190,952648050_2019,SAN DIEGO YOUTH SERVICES,952648050,2019,06-30-2020,92110,0,0,0,0,19632420,203870,0,19836290
191,952648050_2018,SAN DIEGO YOUTH SERVICES,952648050,2018,06-30-2019,92110,0,0,0,0,19070850,144882,0,19215732
192,952648050_2017,SAN DIEGO YOUTH SERVICES,952648050,2017,06-30-2018,92110,0,0,0,0,17914417,225235,0,18139652
193,952648050_2016,SAN DIEGO YOUTH SERVICES,952648050,2016,06-30-2017,92110,0,0,0,0,0,339948,0,339948
194,952648050_2015,SAN DIEGO YOUTH SERVICES,952648050,2015,06-30-2016,92110,0,0,0,0,0,573337,0,573337
195,952648050_2014,SAN DIEGO YOUTH SERVICES,952648050,2014,06-30-2015,92110,0,0,0,0,0,428399,0,428399
196,952648050_2013,SAN DIEGO YOUTH SERVICES,952648050,2013,06-30-2014,0,0,0,0,0,0,423479,0,423479
197,330497515_2021,Las Palmas Foundation,330497515,2021,12-31-2021,92024,0,0,0,0,0,0,0,0
198,330497515_2020,Las Palmas Foundation,330497515,2020,12-31-2020,92024,0,0,0,0,0,0,0,0
199,330497515_2019,Las Palmas Foundation,330497515,2019,12-31-2019,92024,0,0,0,0,0,600,0,600
200,330497515_2018,Las Palmas Foundation,330497515,2018,12-31-2018,92024,0,0,0,0,0,300,0,300
