,EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
1,330217339_2015,CRISIS HOUSE,330217339,2015,12-31-2015,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,01-31-2016,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,02-29-2016,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,03-31-2016,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,04-30-2016,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,05-31-2016,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
1,330217339_2015,CRISIS HOUSE,330217339,2015,06-30-2016,92020,0,0.0,0.0,0.0,63058.5,22772.083333333332,14134.166666666666,85830.58333333333,22772.083333333332
2,330217339_2016,CRISIS HOUSE,330217339,2016,07-31-2016,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,08-31-2016,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,09-30-2016,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,10-31-2016,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,11-30-2016,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,12-31-2016,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,01-31-2017,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,02-28-2017,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,03-31-2017,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,04-30-2017,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,05-31-2017,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
2,330217339_2016,CRISIS HOUSE,330217339,2016,06-30-2017,92020,0,0.0,0.0,0.0,66899.58333333333,28543.75,15765.5,95443.33333333333,28543.75
3,330217339_2017,CRISIS HOUSE,330217339,2017,07-31-2017,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,08-31-2017,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,09-30-2017,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,10-31-2017,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,11-30-2017,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,12-31-2017,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,01-31-2018,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,02-28-2018,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,03-31-2018,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,04-30-2018,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,05-31-2018,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
3,330217339_2017,CRISIS HOUSE,330217339,2017,06-30-2018,92020,0,0.0,0.0,0.0,119485.41666666667,28893.833333333332,15308.5,148379.25,28893.833333333332
4,330217339_2018,CRISIS HOUSE,330217339,2018,07-31-2018,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,08-31-2018,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,09-30-2018,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,10-31-2018,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,11-30-2018,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,12-31-2018,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,01-31-2019,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,02-28-2019,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,03-31-2019,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,04-30-2019,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,05-31-2019,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
4,330217339_2018,CRISIS HOUSE,330217339,2018,06-30-2019,92020,0,0.0,897.5,0.0,118724.83333333333,42682.75,9842.25,162305.08333333334,43580.25
5,330217339_2019,CRISIS HOUSE,330217339,2019,07-31-2019,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,08-31-2019,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,09-30-2019,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,10-31-2019,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,11-30-2019,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,12-31-2019,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,01-31-2020,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,02-29-2020,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,03-31-2020,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,04-30-2020,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,05-31-2020,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
5,330217339_2019,CRISIS HOUSE,330217339,2019,06-30-2020,92020,0,0.0,0.0,0.0,161115.75,36438.5,6210.416666666667,197554.25,36438.5
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,07-31-2015,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,08-31-2015,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,09-30-2015,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,10-31-2015,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,11-30-2015,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,12-31-2015,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,01-31-2016,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,02-29-2016,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,03-31-2016,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,04-30-2016,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,05-31-2016,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
6,330433314_2015,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2015,06-30-2016,92101,0,0.0,0.0,0.0,70976.16666666667,89696.66666666667,0.0,160672.83333333334,89696.66666666667
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,07-31-2016,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,08-31-2016,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,09-30-2016,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,10-31-2016,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,11-30-2016,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,12-31-2016,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,01-31-2017,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,02-28-2017,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,03-31-2017,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,04-30-2017,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,05-31-2017,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
7,330433314_2016,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2016,06-30-2017,92101,0,0.0,0.0,0.0,67241.0,108408.58333333333,0.0,175649.58333333334,108408.58333333333
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,07-31-2017,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,08-31-2017,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,09-30-2017,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,10-31-2017,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,11-30-2017,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,12-31-2017,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,01-31-2018,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,02-28-2018,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,03-31-2018,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,04-30-2018,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,05-31-2018,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
8,330433314_2017,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2017,06-30-2018,92101,0,0.0,0.0,0.0,126167.25,102651.66666666667,0.0,228818.91666666666,102651.66666666667
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,07-31-2018,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,08-31-2018,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,09-30-2018,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,10-31-2018,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,11-30-2018,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,12-31-2018,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,01-31-2019,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,02-28-2019,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,03-31-2019,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,04-30-2019,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,05-31-2019,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
9,330433314_2018,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2018,06-30-2019,92101,0,0.0,0.0,0.0,105468.08333333333,140786.58333333334,0.0,246254.66666666666,140786.58333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,01-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,02-28-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,03-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,04-30-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,05-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,06-30-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,07-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,08-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,09-30-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,10-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,11-30-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
10,330492304_2015,FATHER JOES VILLAGES,330492304,2015,12-31-2015,921023332,0,0.0,0.0,0.0,46732.833333333336,182445.33333333334,172550.75,229178.16666666666,182445.33333333334
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,01-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,02-29-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,03-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,04-30-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,05-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,06-30-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,07-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,08-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,09-30-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,10-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,11-30-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
11,330492304_2016,FATHER JOES VILLAGES,330492304,2016,12-31-2016,921023332,0,0.0,0.0,0.0,20171.25,240646.5,220752.41666666666,260817.75,240646.5
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,01-31-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,02-28-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,03-31-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,04-30-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,05-31-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,06-30-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,07-31-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
12,330492304_2017,FATHER JOES VILLAGES,330492304,2017,08-31-2017,921023332,0,0.0,0.0,0.0,23306.333333333332,524612.9166666666,493602.5,547919.25,524612.9166666666
