ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,"All Other Contributions gifts, grants and similar amounts not included above",Noncash constributions included in lines 1a - 1f,Total ,Type,,,,EIN_YEAR
Walden Environmental,942358632,2015,,92123,0,0,0,0,0,203057,4040,203057,A,203057,TRUE,0,942358632_2015
Walden Environmental,942358632,2016,,92123,0,0,0,0,0,433600,1200,433600,A,433600,TRUE,0,942358632_2016
Walden Environmental,942358632,2018,,92123,0,0,53100,0,7206433,160923,1605,7420456,A,7420456,TRUE,0,942358632_2018
Walden Environmental,942358632,2018,,92123,0,0,1007674,0,13353015,441793,681176,14802482,A,14802482,TRUE,0,942358632_2018
Walden Environmental,942358632,2019,,92123,0,0,1071693,0,16055428,658669,35545,17785790,A,17785790,TRUE,0,942358632_2019
Jewish Family Service of San Diego,951644024,2015,,92123,0,0,88548,70000,7628861,6851622,149927,14639031,A,14639031,TRUE,0,951644024_2015
Jewish Family Service of San Diego,951644024,2017,,92123,0,0,291286,1531126,7074276,7917964,286966,16814652,A,16814652,TRUE,0,951644024_2017
Jewish Family Service of San Diego,951644024,2018,,92123,0,0,382685,2042808,11727667,15812839,126480,29965999,A,29965999,TRUE,0,951644024_2018
Jewish Family Service of San Diego,951644024,2020,,92123,0,0,72703,7303371,21236898,13159624,247272,41772596,,41772596,TRUE,0,951644024_2020
Legal Aid Society of San Diego,951869806,2015,,92114,2336,0,0,0,13495410,5125303,9234,18623049,A,18623049,TRUE,0,951869806_2015
Legal Aid Society of San Diego,951869806,2016,,92114,1677,0,10000,0,12558042,4108352,19250,16678071,A,16678071,TRUE,0,951869806_2016
Legal Aid Society of San Diego,951869806,2017,,92114,3609,0,15000,0,12367467,3883995,0,16270071,A,16270071,TRUE,0,951869806_2017
Legal Aid Society of San Diego,951869806,2018,,92114,3151,0,0,0,13243289,3568421,0,16814861,A,16814861,TRUE,0,951869806_2018
Legal Aid Society of San Diego,951869806,2019,,92114,1859,0,0,0,14166199,2669644,0,16837702,A,16837702,TRUE,0,951869806_2019
Legal Aid Society of San Diego,951869806,2020,,92114,2330,0,0,0,16520044,2875583,0,19397957,A,19397957,TRUE,0,951869806_2020
San Diego Rescue Mission Inc,951874073,2014,,92138,0,0,0,0,0,16740258,10231357,16740258,A,16740258,TRUE,0,951874073_2014
San Diego Rescue Mission Inc,951874073,2015,,92138,0,0,0,0,0,15535669,9304663,15535669,A,15535669,TRUE,0,951874073_2015
San Diego Rescue Mission Inc,951874073,2017,,92138,0,0,0,0,0,17095088,9929227,17095088,A,17095088,TRUE,0,951874073_2017
San Diego Rescue Mission Inc,951874073,2018,,92138,0,0,297819,0,0,16921789,8637829,17219608,A,17219608,TRUE,0,951874073_2018
San Diego Rescue Mission Inc,951874073,2019,,92138,0,0,50825,0,0,16540608,7454894,16591433,A,16591433,TRUE,0,951874073_2019
San Diego Rescue Mission Inc,951874073,2020,,92138,0,0,142855,0,0,21978558,10039786,22121413,A,22121413,TRUE,0,951874073_2020
San Diego Rescue Mission Inc,951874073,2021,,92138,0,0,155764,0,0,26121296,8271604,26277060,,26277060,TRUE,0,951874073_2021
Vista Hill Foundation,951944230,2014,,92123,0,0,0,1164736,0,0,0,1164736,A,1164736,TRUE,0,951944230_2014
Vista Hill Foundation,951944230,2015,,92123,0,0,0,1081289,0,0,0,1081289,A,1081289,TRUE,0,951944230_2015
Vista Hill Foundation,951944230,2016,,92123,0,0,0,1144538,0,25000,0,1169538,A,1169538,TRUE,0,951944230_2016
Vista Hill Foundation,951944230,2017,,92123,0,0,0,1143385,0,0,0,1143385,A,1143385,TRUE,0,951944230_2017
Vista Hill Foundation,951944230,2018,,92123,0,0,0,519227,0,50000,0,569227,A,569227,TRUE,0,951944230_2018
YMCA of San Diego,952039198,2015,,92123,0,0,0,0,59368000,15803000,0,75171000,A,75171000,TRUE,0,952039198_2015
YMCA of San Diego,952039198,2017,,92123,0,0,0,0,79369000,15066000,0,94435000,A,94435000,TRUE,0,952039198_2017
YMCA of San Diego,952039198,2018,,92123,0,0,0,0,92115000,11971000,440000,104086000,A,104086000,TRUE,0,952039198_2018
YMCA of San Diego,952039198,2019,,92123,0,0,0,0,103823000,20816000,0,124639000,A,124639000,TRUE,0,952039198_2019
Pathfinders of San Diego,952157559,2015,,92104,0,0,0,0,484499,37895,0,522394,A,522394,TRUE,0,952157559_2015
Pathfinders of San Diego,952157559,2016,,92104,0,0,0,0,460914,165917,0,626831,A,626831,TRUE,0,952157559_2016
Pathfinders of San Diego,952157559,2017,,92104,0,0,0,0,544103,44220,0,588323,A,588323,TRUE,0,952157559_2017
Pathfinders of San Diego,952157559,2018,,92104,0,0,0,0,1174540,88694,0,1263234,A,1263234,TRUE,0,952157559_2018
Pathfinders of San Diego,952157559,2019,,92104,0,0,0,0,1191318,5658,0,1196976,A,1196976,TRUE,0,952157559_2019
San Diego Youth Services,952648050,2015,6-30-2016,92110,0,0,0,0,0,573337,0,573337,A,573337,TRUE,0,952648050_2015
San Diego Youth Services,952648050,2016,6-30-2017,92110,0,0,0,0,0,339948,0,339948,A,339948,TRUE,0,952648050_2016
San Diego Youth Services,952648050,2017,6-30-2018,92110,0,0,0,0,17914417,225235,0,18139652,A,18139652,TRUE,0,952648050_2017
San Diego Youth Services,952648050,2018,6-30-2019,92110,0,0,0,0,19070850,144882,0,19215732,A,19215732,TRUE,0,952648050_2018
San Diego Youth Services,952648050,2019,6-30-2020,92110,0,0,0,0,19632420,203870,0,19836290,A,19836290,TRUE,0,952648050_2019
San Diego Youth Services,952648050,2020,,92110,0,0,0,0,19387646,322601,0,19710247,,19710247,TRUE,,952648050_2020
Crash Inc,952653869,2015,,92108,0,0,0,0,0,12407,0,12407,A,12407,TRUE,0,952653869_2015
Crash Inc,952653869,2016,,92108,0,0,0,0,0,10393,0,10393,A,10393,TRUE,0,952653869_2016
Crash Inc,952653869,2017,,92108,0,0,0,0,0,5869,0,5869,A,5869,TRUE,0,952653869_2017
Crash Inc,952653869,2018,,92108,0,0,0,0,0,19567,0,19567,A,19567,TRUE,0,952653869_2018
Crash Inc,952653869,2019,,92108,0,0,0,0,0,10140,0,10140,A,10140,TRUE,0,952653869_2019
Family Health Centers of San Diego Inc,952833205,2015,,92102,0,0,109028,0,31709294,2030508,206,33848830,A,33848830,TRUE,0,952833205_2015
Family Health Centers of San Diego Inc,952833205,2016,,92102,0,0,117163,0,37189601,1889004,0,39195768,A,39195768,TRUE,0,952833205_2016
Family Health Centers of San Diego Inc,952833205,2017,,92102,0,0,122474,0,35785124,4490939,0,40398537,A,40398537,TRUE,0,952833205_2017
Family Health Centers of San Diego Inc,952833205,2018,,92102,0,0,112377,0,35981688,4781811,0,40875876,A,40875876,TRUE,0,952833205_2018
Family Health Centers of San Diego Inc,952833205,2019,,92102,0,0,127428,0,42826769,7746205,0,50700402,A,50700402,TRUE,0,952833205_2019
Family Health Centers of San Diego Inc,952833205,2020,,92102,0,0,0,0,49070786,7643862,766795,56714648,,56714648,TRUE,,952833205_2020
Serving Seniors,952850121,2015,6-30-2016,92101,0,0,0,0,3119195,1727053,96540,4846248,A,4846248,TRUE,0,952850121_2015
Serving Seniors,952850121,2016,6-30-2017,92101,0,0,325000,0,3245708,1210887,0,4781595,A,4781595,TRUE,0,952850121_2016
Serving Seniors,952850121,2017,,92101,0,0,101071,0,3298204,1739118,236047,5138393,A,5138393,TRUE,0,952850121_2017
Serving Seniors,952850121,2018,,92101,0,0,161620,0,4078668,2248135,124834,6488423,A,6488423,TRUE,0,952850121_2018
Serving Seniors,952850121,2019,,92101,0,0,53970,0,5623675,3947673,0,9625318,A,9625318,TRUE,0,952850121_2019
Serving Seniors,952850121,2021,,92101,0,0,129000,0,8663919,3595528,0,12388447,,12388447,TRUE,0,952850121_2021
Elderhelp of San Diego,952880426,2015,,92123,0,0,40155,0,345108,916212,0,1301475,A,1301475,TRUE,0,952880426_2015
Elderhelp of San Diego,952880426,2016,,92123,0,0,42430,0,357117,1052228,0,1451775,A,1451775,TRUE,0,952880426_2016
Elderhelp of San Diego,952880426,2017,,92123,0,0,41285,0,334239,1055910,0,1431434,A ,1431434,TRUE,0,952880426_2017
Elderhelp of San Diego,952880426,2018,,92123,0,0,53375,0,313363,762231,37263,1128969,A,1128969,TRUE,0,952880426_2018
Elderhelp of San Diego,952880426,2019,,92123,0,0,51009,0,318368,1075276,34594,1444653,A,1444653,TRUE,0,952880426_2019
Elderhelp of San Diego,952880426,2020,,92123,0,0,109324,0,574130,1219917,37648,1903371,,1903371,TRUE,0,952880426_2020
New Alternatives Inc,953244085,2015,12-31-2015,92163,0,0,0,0,0,467092,0,467092,A,467092,TRUE,0,953244085_2015
New Alternatives Inc,953244085,2016,12-31-2016,92163,0,0,0,0,0,274792,0,274792,A,274792,TRUE,0,953244085_2016
New Alternatives Inc,953244085,2017,12-31-2017,92163,0,0,0,0,29308,741356,0,770664,A,770664,TRUE,0,953244085_2017
New Alternatives Inc,953244085,2018,12-31-2018,92163,0,0,0,0,0,390047,0,390047,A,390047,TRUE,0,953244085_2018
New Alternatives Inc,953244085,2019,12-31-2019,92163,0,0,0,0,0,291658,0,291658,A,291658,TRUE,0,953244085_2019
Community Research Foundation,953248148,2015,,92110,0,0,0,0,47272420,23961,0,47296381,A,47296381,TRUE,0,953248148_2015
Community Research Foundation,953248148,2016,,92110,0,0,0,0,53517314,36320,0,53553634,A,53553634,TRUE,0,953248148_2016
Community Research Foundation,953248148,2017,,92110,0,0,0,0,60139803,45233,0,60185036,A,60185036,TRUE,0,953248148_2017
Community Research Foundation,953248148,2018,,92110,0,0,0,0,67698783,40892,0,67739675,A,67739675,TRUE,0,953248148_2018
Community Research Foundation,953248148,2019,,92110,0,0,0,0,75268724,49776,0,75318500,A,75318500,TRUE,0,953248148_2019
Community Research Foundation,953248148,2020,,92110,0,0,0,0,73708400,74747,0,73783147,,73783147,TRUE,0,953248148_2020
Mental Health Systems,953302967,2014,,92123,0,0,0,0,72132439,267385,0,72399824,A,72399824,TRUE,0,953302967_2014
Mental Health Systems,953302967,2015,,92123,0,0,0,0,67248615,281825,0,67530440,A,67530440,TRUE,0,953302967_2015
Mental Health Systems,953302967,2016,,92123,0,0,0,0,62030562,78628,0,62109190,A,62109190,TRUE,0,953302967_2016
Mental Health Systems,953302967,2017,,92123,0,0,0,0,61935444,79120,0,62014564,A,62014564,TRUE,0,953302967_2017
Mental Health Systems,953302967,2018,,92123,0,0,0,0,71062143,77961,0,71140104,A,71140104,TRUE,0,953302967_2018
Mental Health Systems,953302967,2019,,92123,0,0,0,0,90049407,32870,0,90082277,A,90082277,TRUE,0,953302967_2019
Casa De Amparo,953315571,2015,,92069,14662,0,337599,0,191203,2208953,424543,2752417,A,2752417,TRUE,0,953315571_2015
Casa De Amparo,953315571,2016,,92069,11487,0,225830,0,222038,3348922,486662,3808277,A,3808277,TRUE,0,953315571_2016
Casa De Amparo,953315571,2017,,92069,1924,0,14888,0,5669765,1737039,408738,7423616,A,7423616,TRUE,0,953315571_2017
Casa De Amparo,953315571,2018,,92069,0,0,119380,0,402566,1441065,319577,1963011,A,1963011,TRUE,0,953315571_2018
Casa De Amparo,953315571,2019,,92069,0,0,128260,0,8253706,1511144,229425,9893110,A,9893110,TRUE,0,953315571_2019
Vietnam Veterans of San Diego,953649525,2015,6-30-2016,921102030,0,0,0,0,8368757,1746395,1086348,10115152,A,10115152,TRUE,0,953649525_2015
Vietnam Veterans of San Diego,953649525,2018,6-30-2019,92110,0,0,0,0,12226507,1663160,68633,13889667,A,13889667,TRUE,0,953649525_2018
Vietnam Veterans of San Diego,953649525,2019,6-30-2020,92110,0,0,108285,0,14550486,2660409,90700,17319180,A,17319180,TRUE,0,953649525_2019
Vietnam Veterans of San Diego,953649525,2020,,92110,0,0,0,0,17344646,919709,140090,18264355,,18264355,TRUE,,953649525_2020
Center For Community Solutions,956379598,2015,,92109,0,0,238746,0,3215028,596261,29180,4050035,A,4050035,TRUE,0,956379598_2015
Center For Community Solutions,956379598,2017,,92109,0,0,286098,0,4101800,719296,35080,5107194,A,5107194,TRUE,0,956379598_2017
Center For Community Solutions,956379598,2018,,92109,0,0,431150,0,4702859,731655,33999,5865664,A,5865664,TRUE,,956379598_2018
Center For Community Solutions,956379598,2019,,92109,0,0,169778,0,463840,943753,50456,6077371,A,6077371,TRUE,,956379598_2019
Community Resource Center,953497926,2015,,92024,2081,0,178433,0,877544,1118465,37633,2176523,A,2176523,TRUE,,953497926_2015
Community Resource Center,953497926,2016,,92024,1043,0,4960,0,1074638,1221054,43662,2301695,A,2301695,TRUE,,953497926_2016
Community Resource Center,953497926,2017,,92024,158,0,73475,0,1305024,1827504,548988,3206161,A,3206161,TRUE,,953497926_2017
Community Resource Center,953497926,2018,,92024,347,0,68811,0,1526759,1422107,614244,3018024,A,3018024,TRUE,,953497926_2018
Community Resource Center,953497926,2019,,92024,0,0,301149,0,2338255,2490058,627749,5129462,A,5129462,TRUE,,953497926_2019
Community Resource Center,953497926,2020,,92024,0,0,77637,0,3252755,4043651,1035391,7374043,A,7374043,TRUE,,953497926_2020
Interfaith Community Services,953837714,2015,,92025,2401,0,0,0,0,4366929,635553,4369330,A,4369330,TRUE,,953837714_2015
Interfaith Community Services,953837714,2017,,92025,2794,0,0,0,0,6715132,859409,6717926,A,6717926,TRUE,,953837714_2017
Interfaith Community Services,953837714,2018,,92025,7874,0,0,0,0,4659335,931132,4667209,A,4667209,TRUE,,953837714_2018
Interfaith Community Services,953837714,2019,,92025,371,0,0,0,0,7188385,840491,7188756,A,7188756,TRUE,,953837714_2019
Interfaith Community Services,953837714,2020,,92025,0,0,0,0,0,8230080,609510,8230080,A,8230080,TRUE,,953837714_2020
Mcalister Institute,953140767,2015,,92020,0,0,0,0,9361362,0,0,9361362,A,9361362,TRUE,,953140767_2015
Mcalister Institute,953140767,2016,,92020,0,0,0,0,11827666,0,0,11827666,A,11827666,TRUE,,953140767_2016
Mcalister Institute,953140767,2017,,92020,0,0,0,0,15375695,0,0,15375695,A,15375695,TRUE,,953140767_2017
Mcalister Institute,953140767,2018,,92020,0,0,0,0,20728534,0,0,20728534,A,20728534,TRUE,,953140767_2018
Mcalister Institute,953140767,2020,,92020,0,0,0,0,33156996,0,0,33156996,,33156996,TRUE,,953140767_2020
Neighborhood House Association,951648184,2015,,92111,6215,0,193732,0,83944092,573315,0,84717354,A,84717354,TRUE,,951648184_2015
Neighborhood House Association,951648184,2016,,92111,4241,0,208120,0,85482020,539917,0,86234298,A,86234298,TRUE,,951648184_2016
Neighborhood House Association,951648184,2017,,92111,2433,0,90000,0,92792453,640431,65505,93525317,A,93525317,TRUE,,951648184_2017
Neighborhood House Association,951648184,2018,,92111,882,0,197990,0,95320956,638996,74436,96158824,A,96158824,TRUE,,951648184_2018
Neighborhood House Association,951648184,2019,,92111,819,0,88990,0,97559202,598531,0,98247542,A,98247542,TRUE,,951648184_2019
South Bay Community Services,952693142,2015,,91910,0,0,0,0,23412360,546969,278454,23959329,A,23959329,TRUE,,952693142_2015
South Bay Community Services,952693142,2016,,91910,0,0,158754,0,24108727,511375,194845,24778856,A,24778856,TRUE,,952693142_2016
South Bay Community Services,952693142,2017,,91910,0,0,187711,0,23679156,505996,75340,24372863,A,24372863,TRUE,,952693142_2017
South Bay Community Services,952693142,2018,,91910,0,0,230647,0,24769279,603727,148832,25603653,A,25603653,TRUE,,952693142_2018
South Bay Community Services,952693142,2019,,91910,0,0,165510,0,30495738,2038952,78823,32700200,A,32700200,TRUE,,952693142_2019
South Bay Community Services,952693142,2020,,91910,0,0,0,0,93767513,4511207,411334,98278720,,98278720,TRUE,,952693142_2020
Crisis House,330217339,2015,6-30-2016,92020,0,0,0,0,756702,273265,169610,1029967,A,1029967,TRUE,,330217339_2015
Crisis House,330217339,2016,6-30-2017,92020,0,0,0,0,802795,342525,189186,1145320,A,1145320,TRUE,,330217339_2016
Crisis House,330217339,2017,6-30-2018,92020,0,0,0,0,1433825,346726,183702,1780551,A,1780551,TRUE,,330217339_2017
Crisis House,330217339,2018,6-30-2019,92020,0,0,10770,0,1424698,512193,118107,1947661,A,1947661,TRUE,,330217339_2018
Crisis House,330217339,2019,6-30-2020,92020,0,0,0,0,1933389,437262,74525,2370651,A,2370651,TRUE,,330217339_2019
Crisis House,330217339,2020,,92071,0,0,0,0,1923024,491981,49511,2415005,,2415005,TRUE,,330217339_2020
North County Lifeline,952794253,2015,,92056,0,0,0,0,7008292,156226,71467,7164518,A,7164518,TRUE,,952794253_2015
North County Lifeline,952794253,2016,,92056,0,0,0,0,7910489,269310,107107,8179799,A,8179799,TRUE,,952794253_2016
North County Lifeline,952794253,2017,,92056,0,0,0,0,9738384,287018,207107,10025402,A,10025402,TRUE,,952794253_2017
North County Lifeline,952794253,2018,,92056,0,0,0,0,10496439,353245,235480,10849684,A,10849684,TRUE,,952794253_2018
North County Lifeline,952794253,2019,,92056,0,0,0,0,12446965,392396,251569,12839361,A,12839361,TRUE,,952794253_2019
North County Lifeline,952794253,2020,,92056,0,0,0,0,13098737,679469,189639,13778206,A,13778206,TRUE,,952794253_2020
Episcopal Community Services,951945256,2015,,91950,0,0,51225,0,22100447,340084,0,22491756,A,22491756,TRUE,,951945256_2015
Episcopal Community Services,951945256,2016,,91950,0,0,101625,0,22673613,301556,0,23076794,A,23076794,TRUE,,951945256_2016
Episcopal Community Services,951945256,2017,,91950,0,0,124077,0,23934591,719216,0,24777884,A,24777884,TRUE,,951945256_2017
Episcopal Community Services,951945256,2018,,91950,0,0,137949,0,25902728,527617,129159,26568294,A,26568294,TRUE,,951945256_2018
Episcopal Community Services,951945256,2019,,91950,0,0,168750,0,26628948,568432,76845,27366130,A,27366130,TRUE,,951945256_2019
East County Transitional Living Center Inc.,270865318,2015,,92021,0,0,0,0,77030,633257,412106,710287,A,710287,TRUE,,270865318_2015
East County Transitional Living Center Inc.,270865318,2016,,92021,0,0,0,0,164573,692054,580726,856627,A,856627,TRUE,,270865318_2016
East County Transitional Living Center Inc.,270865318,2017,,92021,0,0,0,0,80004,1549664,905744,1629668,A,1629668,TRUE,,270865318_2017
East County Transitional Living Center Inc.,270865318,2018,,92021,0,0,0,0,0,2215373,1511646,2215373,A,2215373,TRUE,,270865318_2018
East County Transitional Living Center Inc.,270865318,2019,,92021,0,0,0,0,0,1616436,1140751,1616436,A,1616436,TRUE,,270865318_2019
East County Transitional Living Center Inc.,270865318,2021,,92021,0,0,0,0,0,4219724,3264414,7484138,,7484138,TRUE,,270865318_2021
