EIN_YEAR,Organization Name,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
953750738_2016,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2016,09-30-2017,92127,0,0,0,0,55911,0,0,55911,0
953750738_2015,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2015,09-30-2016,92127,0,0,0,0,56788,0,0,56788,0
953750738_2014,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2014,09-30-2015,92127,0,0,0,0,55336,0,0,55336,0
953782164_2020,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2020,09-30-2021,91901,0,0,0,0,19406720,120824,59013,19527544,120824
953782164_2019,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2019,09-30-2020,91901,0,0,0,0,15329504,54763,54763,15384267,54763
953782164_2018,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2018,09-30-2019,91901,0,0,0,0,12821614,171201,44396,12992815,171201
953782164_2017,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2017,09-30-2018,91901,0,0,0,0,12039956,227741,42532,12267697,227741
953782164_2016,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2016,09-30-2017,91901,0,0,0,0,11237004,378725,39036,11615729,378725
953782164_2015,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2015,09-30-2016,91901,0,0,0,0,10326684,926092,96307,11252776,926092
953782164_2014,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2014,09-30-2015,91901,0,0,0,0,10459020,638433,123626,11097453,638433
953782164_2013,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2013,09-30-2014,0,0,0,0,0,9395777,145941,97417,9541718,145941
951874073_2021,SAN DIEGO RESCUE MISSION INC,951874073,2021,09-30-2022,92138,0,0,155764,0,0,26121296,8271604,26277060,26277060
951874073_2020,SAN DIEGO RESCUE MISSION INC,951874073,2020,09-30-2021,92138,0,0,142855,0,0,21978558,10039786,22121413,22121413
951874073_2019,SAN DIEGO RESCUE MISSION INC,951874073,2019,09-30-2020,92138,0,0,50825,0,0,16540608,7454894,16591433,16591433
951874073_2018,SAN DIEGO RESCUE MISSION INC,951874073,2018,09-30-2019,92138,0,0,297819,0,0,16921789,8637829,17219608,17219608
951874073_2017,SAN DIEGO RESCUE MISSION INC,951874073,2017,09-30-2018,92138,0,0,0,0,0,17095088,9929227,17095088,17095088
951874073_2016,SAN DIEGO RESCUE MISSION INC,951874073,2016,09-30-2017,92138,0,0,305400,0,0,16740241,10289900,17045641,17045641
951874073_2015,SAN DIEGO RESCUE MISSION INC,951874073,2015,09-30-2016,92138,0,0,0,0,0,15535669,9304663,15535669,15535669
951874073_2014,SAN DIEGO RESCUE MISSION INC,951874073,2014,09-30-2015,92138,0,0,0,0,0,16740258,10231347,16740258,16740258
951874073_2013,SAN DIEGO RESCUE MISSION INC,951874073,2013,09-30-2014,0,0,0,0,0,0,19597062,9632204,19597062,19597062
942358632_2021,WALDEN ENVIRONMENT DBA WALDEN FAMILY SERVICES,942358632,2021,06-30-2022,92123,0,0,366680,0,16561736,1186451,10000,18114867,1553131
942358632_2020,WALDEN ENVIRONMENT DBA WALDEN FAMILY SERVICES,942358632,2020,06-30-2021,92123,0,0,0,0,17100546,833046,3100,17933592,833046
942358632_2019,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2019,06-30-2020,92123,0,0,1071693,0,16055428,658669,35545,17785790,1730362
942358632_2018,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2018,12-31-2018,92123,0,0,1007674,0,13353015,441793,681176,14802482,1449467
942358632_2017,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2017,12-31-2017,92123,0,0,0,0,0,252500,0,252500,252500
942358632_2016,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2016,12-31-2016,92123,0,0,0,0,0,433600,1200,433600,433600
942358632_2015,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2015,12-31-2015,92123,0,0,0,0,0,203057,4040,203057,203057
942358632_2014,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2014,12-31-2014,92120,0,0,0,0,0,216481,811,216481,216481
942358632_2013,WALDEN ENVIRONMENT INC DBA WALDEN FAMILY SERVICES,942358632,2013,12-31-2013,0,0,0,0,0,0,101535,0,101535,101535
821946283_2021,SDHC BUILDING OPPORTUNITIES INC,821946283,2021,06-30-2022,92101,0,0,0,0,0,353094,0,353094,353094
821946283_2020,SDHC BUILDING OPPORTUNITIES INC,821946283,2020,06-30-2021,92101,0,0,0,0,0,116000,0,116000,116000
821946283_2019,SDHC BUILDING OPPORTUNITIES INC,821946283,2019,06-30-2020,92101,0,0,0,0,0,366114,0,366114,366114
237279074_2021,UNION OF PAN ASIAN COMMUNITIES,237279074,2021,06-30-2022,92102,170,0,44349,0,0,595309,53487,639828,639828
237279074_2020,UNION OF PAN ASIAN COMMUNITIES,237279074,2020,06-30-2021,92102,216,0,77662,0,33272,524550,0,635700,602428
237279074_2019,UNION OF PAN ASIAN COMMUNITIES,237279074,2019,06-30-2020,92102,56,0,0,0,0,561746,0,561802,561802
237279074_2018,UNION OF PAN ASIAN COMMUNITIES,237279074,2018,06-30-2019,92102,387,0,134109,0,0,299784,0,434280,434280
237279074_2017,UNION OF PAN ASIAN COMMUNITIES,237279074,2017,06-30-2018,92102,219,0,123225,0,0,443582,0,567026,567026
237279074_2016,UNION OF PAN ASIAN COMMUNITIES,237279074,2016,06-30-2017,92102,777,0,118088,0,0,378054,0,496919,496919
237279074_2015,UNION OF PAN ASIAN COMMUNITIES,237279074,2015,06-30-2016,92102,1083,0,120006,0,0,282200,0,403289,403289
237279074_2014,UNION OF PAN ASIAN COMMUNITIES,237279074,2014,06-30-2015,92102,752,0,108729,0,0,254538,0,364019,364019
237279074_2013,UNION OF PAN ASIAN COMMUNITIES,237279074,2013,06-30-2014,0,3256,0,0,0,0,301674,0,304930,304930
331029843_2021,INFO LINE OF SAN DIEGO COUNTY,331029843,2021,06-30-2022,92142,0,0,344110,0,0,813456,0,1157566,1157566
331029843_2020,INFO LINE OF SAN DIEGO COUNTY,331029843,2020,06-30-2021,92142,179534,0,457183,0,0,402785,0,1039502,1039502
331029843_2019,INFO LINE OF SAN DIEGO COUNTY,331029843,2019,06-30-2020,92142,67806,0,167628,0,0,585432,0,820866,820866
331029843_2018,INFO LINE OF SAN DIEGO COUNTY,331029843,2018,06-30-2019,92142,5422,0,0,0,0,1437951,0,1443373,1443373
331029843_2017,INFO LINE OF SAN DIEGO COUNTY,331029843,2017,06-30-2018,92123,68432,0,0,0,0,1291416,0,1359848,1359848
331029843_2016,INFO LINE OF SAN DIEGO COUNTY,331029843,2016,06-30-2017,92123,61836,0,0,0,0,797617,0,859453,859453
331029843_2015,INFO LINE OF SAN DIEGO COUNTY,331029843,2015,06-30-2016,92123,0,0,148000,0,0,1442396,20500,1590396,1590396
331029843_2014,INFO LINE OF SAN DIEGO COUNTY,331029843,2014,06-30-2015,92123,0,0,147250,0,0,565250,2675,712500,712500
331029843_2013,INFO LINE OF SAN DIEGO COUNTY,331029843,2013,06-30-2014,0,0,0,285459,0,0,1426616,14603,1712075,1712075
330210280_2022,UPLIFT,330210280,2022,12-31-2022,92102,0,0,215764,0,0,225374,0,441138,441138
330210280_2021,UPLIFT,330210280,2021,12-31-2021,92102,0,0,53708,0,0,192522,30000,246230,246230
330210280_2019,UPLIFT,330210280,2019,12-31-2019,92102,0,0,52847,0,0,188329,0,241176,241176
953031682_2020,ABLEDISABLED ADVOCACY INC,953031682,2020,09-30-2021,92105,0,0,0,0,1945475,284250,220883,2229725,284250
953031682_2019,ABLEDISABLED ADVOCACY INC,953031682,2019,09-30-2020,92105,0,0,0,0,2019536,488151,404620,2507687,488151
953031682_2018,ABLEDISABLED ADVOCACY INC,953031682,2018,09-30-2019,92105,0,0,0,0,1962090,377739,237256,2339829,377739
953031682_2017,ABLEDISABLED ADVOCACY INC,953031682,2017,09-30-2018,92105,0,0,0,0,1996303,141338,49843,2137641,141338
953031682_2016,ABLEDISABLED ADVOCACY INC,953031682,2016,09-30-2017,92105,0,0,0,0,0,2076118,0,2076118,2076118
953031682_2015,ABLEDISABLED ADVOCACY INC,953031682,2015,09-30-2016,92105,0,0,0,0,1677760,16974,0,1694734,16974
953031682_2014,ABLEDISABLED ADVOCACY INC,953031682,2014,09-30-2015,92105,0,0,0,0,1698955,350076,0,2049031,350076
953031682_2013,ABLEDISABLED ADVOCACY INC,953031682,2013,09-30-2014,0,0,0,0,0,1662856,304412,0,1967268,304412
952457354_2021,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2021,12-31-2021,91911,0,0,0,0,44408141,3256460,2136983,47664601,3256460
952457354_2020,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2020,12-31-2020,91911,0,0,0,0,35941636,3522954,2632688,39464590,3522954
952457354_2019,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2019,12-31-2019,91911,0,0,204555,0,35487026,2434789,2298104,38126370,2639344
952457354_2018,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2018,12-31-2018,91911,0,0,35000,0,29811044,2412572,1869374,32258616,2447572
952457354_2017,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2017,12-31-2017,91911,0,0,36800,0,27582015,2269306,2049541,29888121,2306106
952457354_2016,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2016,12-31-2016,91911,0,0,16800,0,28532127,2003551,1738321,30552478,2020351
952457354_2015,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2015,12-31-2015,91911,0,0,125830,0,28333254,925726,893295,29384810,1051556
952457354_2013,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2013,12-31-2013,0,0,0,0,0,0,254541,0,254541,254541
330433314_2021,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2021,06-30-2022,92101,0,0,521275,0,598626,970523,142849,2090424,1491798
330433314_2020,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2020,06-30-2021,92101,0,0,1200,0,462250,2067172,15150,2530622,2068372
330433314_2019,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2019,06-30-2020,92101,0,0,0,0,1178817,986074,0,2164891,986074
330217339_2021,CRISIS HOUSE,330217339,2021,06-30-2022,92071,0,0,0,0,2812646,0,74537,2812646,0
330217339_2020,CRISIS HOUSE,330217339,2020,06-30-2021,92071,0,0,0,0,1923024,491981,49511,2415005,491981
330217339_2019,CRISIS HOUSE,330217339,2019,06-30-2020,92020,0,0,0,0,1933389,437262,74525,2370651,437262
330217339_2018,CRISIS HOUSE,330217339,2018,06-30-2019,92020,0,0,10770,0,1424698,512193,118107,1947661,522963
330217339_2017,CRISIS HOUSE,330217339,2017,06-30-2018,92020,0,0,0,0,1433825,346726,183702,1780551,346726
330217339_2016,CRISIS HOUSE,330217339,2016,06-30-2017,92020,0,0,0,0,802795,342525,189186,1145320,342525
330217339_2015,CRISIS HOUSE,330217339,2015,06-30-2016,92020,0,0,0,0,756702,273265,169610,1029967,273265
330217339_2014,CRISIS HOUSE,330217339,2014,06-30-2015,92020,0,0,0,0,761869,273527,164026,1035396,273527
330217339_2013,CRISIS HOUSE,330217339,2013,06-30-2014,0,0,0,0,0,789054,207241,151705,996295,207241
952833205_2021,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2021,06-30-2022,92102,0,0,0,0,59753670,14436348,4374735,74190018,14436348
952833205_2020,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2020,06-30-2021,92102,0,0,0,0,49070786,7643862,766795,56714648,7643862
952833205_2019,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2019,06-30-2020,92102,0,0,127428,0,42826769,7746205,0,50700402,7873633
952833205_2018,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2018,06-30-2019,92102,0,0,112377,0,35981688,4781811,0,40875876,4894188
952833205_2017,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2017,06-30-2018,92102,0,0,122474,0,35785124,4490939,0,40398537,4613413
952833205_2016,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2016,06-30-2017,92102,0,0,117163,0,37189601,1889004,0,39195768,2006167
952833205_2015,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2015,06-30-2016,92102,0,0,109028,0,31709294,2030508,206,33848830,2139536
952833205_2014,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2014,06-30-2015,92102,0,0,62739,0,30863316,1834695,0,32760750,1897434
952833205_2013,FAMILY HEALTH CENTERS OF SAN DIEGO INC,952833205,2013,06-30-2014,0,0,0,180418,0,33396379,2425663,2425663,36002460,2606081
330623634_2021,TOWNSPEOPLE,330623634,2021,12-31-2021,92104,0,0,0,0,1404789,301693,0,1706482,301693
330623634_2020,TOWNSPEOPLE,330623634,2020,12-31-2020,92103,0,0,0,0,1222446,118579,0,1341025,118579
330623634_2019,TOWNSPEOPLE,330623634,2019,12-31-2019,92103,0,0,0,0,1043179,25747,0,1068926,25747
330623634_2018,TOWNSPEOPLE,330623634,2018,12-31-2018,92103,0,0,0,0,830118,128187,0,958305,128187
330623634_2017,TOWNSPEOPLE,330623634,2017,12-31-2017,92103,0,0,0,0,685289,18984,3430,704273,18984
330623634_2016,TOWNSPEOPLE,330623634,2016,12-31-2016,92103,0,0,0,0,732642,14274,0,746916,14274
330623634_2015,TOWNSPEOPLE,330623634,2015,12-31-2015,92103,0,0,0,0,450427,16277,0,466704,16277
330623634_2014,TOWNSPEOPLE,330623634,2014,12-31-2014,92103,0,0,0,0,326207,44853,0,371060,44853
330623634_2013,TOWNSPEOPLE,330623634,2013,12-31-2013,0,0,0,0,0,595951,35474,0,631425,35474
330497515_2021,LAS PALMAS FOUNDATION,330497515,2021,12-31-2021,92024,0,0,0,0,0,0,0,0,0
330497515_2020,LAS PALMAS FOUNDATION,330497515,2020,12-31-2020,92024,0,0,0,0,0,0,0,0,0
330497515_2019,LAS PALMAS FOUNDATION,330497515,2019,12-31-2019,92024,0,0,0,0,0,600,0,600,600
330497515_2018,LAS PALMAS FOUNDATION,330497515,2018,12-31-2018,92024,0,0,0,0,0,300,0,300,300
330497515_2017,LAS PALMAS FOUNDATION,330497515,2017,12-31-2017,92024,0,0,0,0,0,550,0,550,550
330497515_2016,LAS PALMAS FOUNDATION,330497515,2016,12-31-2016,92024,0,0,0,0,0,0,0,0,0
330497515_2015,LAS PALMAS FOUNDATION,330497515,2015,12-31-2015,92024,0,0,0,0,149000,0,0,149000,0
330497515_2014,LAS PALMAS FOUNDATION,330497515,2014,12-31-2014,92024,0,0,0,0,47171,0,0,47171,0
330497515_2013,LAS PALMAS FOUNDATION,330497515,2013,12-31-2013,0,0,0,0,0,357902,0,0,357902,0
273390797_2020,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2020,06-30-2021,92105,0,0,0,0,293380,374295,5000,667675,374295
273390797_2019,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2019,06-30-2020,92105,0,0,0,0,402438,233989,463,636427,233989
273390797_2018,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2018,06-30-2019,92105,0,0,0,0,252176,221576,1000,473752,221576
273390797_2017,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2017,06-30-2018,92105,0,0,0,0,0,393129,15488,393129,393129
330317950_2021,COMMUNITY HOUSING WORKS,330317950,2021,12-31-2021,92108,0,0,0,1275925,2407658,1487867,0,5171450,2763792
330317950_2020,COMMUNITY HOUSING WORKS,330317950,2020,12-31-2020,92108,0,0,0,3252996,1628956,1364328,0,6246280,4617324
330317950_2019,COMMUNITY HOUSING WORKS,330317950,2019,12-31-2019,92108,0,0,0,2915400,1426417,944973,0,5286790,3860373
330317950_2018,COMMUNITY HOUSING WORKS,330317950,2018,12-31-2018,92108,0,0,0,0,5739760,988317,0,6728077,988317
330317950_2017,COMMUNITY HOUSING WORKS,330317950,2017,12-31-2017,92108,0,0,201036,0,847813,557296,0,1606145,758332
330317950_2016,COMMUNITY HOUSING WORKS,330317950,2016,12-31-2016,92108,0,0,178333,0,910318,501953,0,1590604,680286
330317950_2015,COMMUNITY HOUSING WORKS,330317950,2015,12-31-2015,92108,0,0,0,0,2257896,1355637,0,3613533,1355637
330317950_2014,COMMUNITY HOUSING WORKS,330317950,2014,12-31-2014,92108,0,0,0,0,0,2127522,0,2127522,2127522
330317950_2013,COMMUNITY HOUSING WORKS,330317950,2013,12-31-2013,0,0,0,0,0,0,3077285,0,3077285,3077285
465055513_2021,URBAN STREET ANGELS INC,465055513,2021,12-31-2021,92101,0,0,0,0,3099056,482512,0,3581568,482512
465055513_2020,URBAN STREET ANGELS INC,465055513,2020,12-31-2020,92101,0,0,0,0,2397198,225223,0,2622421,225223
465055513_2019,URBAN STREET ANGELS INC,465055513,2019,12-31-2019,92101,0,0,0,0,1597401,414072,0,2011473,414072
465055513_2018,URBAN STREET ANGELS INC,465055513,2018,12-31-2018,92101,0,0,24381,0,713895,112174,0,850450,136555
951729734_2020,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2020,06-30-2021,92101,0,0,327489,0,0,32833,22000,360322,360322
951729734_2019,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2019,06-30-2020,92101,0,0,581885,0,0,15000,0,596885,596885
951729734_2018,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2018,06-30-2019,92101,0,0,569952,0,0,0,0,569952,569952
951729734_2017,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2017,06-30-2018,92101,0,0,548869,0,0,0,0,548869,548869
951729734_2016,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2016,06-30-2017,92101,0,618896,591403,0,0,0,0,1210299,1210299
951729734_2015,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2015,06-30-2016,92101,0,581296,0,0,0,133760,0,715056,715056
951729734_2014,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2014,06-30-2015,92101,0,596043,0,0,0,0,0,596043,596043
951729734_2013,DOWNTOWN SAN DIEGO PARTNERSHIP INC,951729734,2013,06-30-2014,0,0,530544,0,0,0,0,0,530544,530544
113723093_2020,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2020,06-30-2021,92123,0,0,0,0,17841834,183535,0,18025369,183535
113723093_2019,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2019,06-30-2020,92123,0,0,0,0,9344677,182239,0,9526916,182239
113723093_2018,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2018,06-30-2019,92123,0,0,0,0,2505451,865020,0,3370471,865020
113723093_2017,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017,06-30-2018,92123,0,0,0,0,2021667,738875,0,2760542,738875
113723093_2016,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2016,06-30-2017,92123,0,6677,0,0,1922156,65214,0,1994047,71891
113723093_2015,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2015,06-30-2016,92123,0,0,0,0,1110060,47330,0,1157390,47330
113723093_2014,REGIONAL TASK FORCE ON THE HOMELESS INC,113723093,2014,06-30-2015,92123,0,0,0,0,991765,94796,0,1086561,94796
270865318_2021,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2021,12-31-2021,92021,0,0,0,0,0,4219724,3264414,4219724,4219724
270865318_2020,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2020,12-31-2020,92021,0,0,0,0,0,3247868,2243641,3247868,3247868
270865318_2019,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2019,12-31-2019,92021,0,0,0,0,0,1616436,1140751,1616436,1616436
270865318_2018,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2018,12-31-2018,92021,0,0,0,0,0,2215373,1511646,2215373,2215373
270865318_2017,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2017,12-31-2017,92021,0,0,0,0,80004,1549664,905744,1629668,1549664
270865318_2016,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2016,12-31-2016,92021,0,0,0,0,164573,692054,580726,856627,692054
270865318_2015,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2015,12-31-2015,92021,0,0,0,0,77030,633257,412106,710287,633257
270865318_2014,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2014,12-31-2014,92021,0,0,0,0,0,205197,75,205197,205197
270865318_2013,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2013,12-31-2013,0,0,0,0,0,140946,668090,563555,809036,668090
272917644_2021,KAREN ORGANIZATION OF SAN DIEGO,272917644,2021,12-31-2021,92105,0,0,0,0,298246,670453,0,968699,670453
272917644_2020,KAREN ORGANIZATION OF SAN DIEGO,272917644,2020,12-31-2020,92105,0,0,0,0,123825,384902,0,508727,384902
272917644_2019,KAREN ORGANIZATION OF SAN DIEGO,272917644,2019,12-31-2019,92105,0,0,0,0,0,169503,0,169503,169503
272917644_2018,KAREN ORGANIZATION OF SAN DIEGO,272917644,2018,12-31-2018,92105,0,0,0,0,0,188071,0,188071,188071
272917644_2017,KAREN ORGANIZATION OF SAN DIEGO,272917644,2017,12-31-2017,92105,0,0,2888,0,0,132638,0,135526,135526
272917644_2016,KAREN ORGANIZATION OF SAN DIEGO,272917644,2016,12-31-2016,92105,0,0,0,0,0,139470,0,139470,139470
272917644_2015,KAREN ORGANIZATION OF SAN DIEGO,272917644,2015,12-31-2015,92105,0,0,0,0,0,103388,0,103388,103388
952877102_2021,OLIVE CREST,952877102,2021,06-30-2022,92705,0,0,1748370,0,30839048,10756763,1593022,43344181,12505133
952877102_2020,OLIVE CREST,952877102,2020,06-30-2021,92705,0,0,1059264,0,23230878,7369758,1305317,31659900,8429022
952877102_2019,OLIVE CREST,952877102,2019,06-30-2020,92705,0,0,869676,0,24484051,6938204,1041307,32291931,7807880
952877102_2018,OLIVE CREST,952877102,2018,06-30-2019,92705,4000,0,678924,0,23349562,7598041,1550404,31630527,8280965
952877102_2017,OLIVE CREST,952877102,2017,06-30-2018,92705,96,0,605500,0,16321385,7943754,1400071,24870735,8549350
